Laureate Education PE Ratio Historical Data,Laureate Education PE Ratio Historical Data,Laureate Education PE Ratio Historical Data,Laureate Education PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.72,,12.58
2024-06-30,14.94,$1.25,11.95
2024-03-31,14.57,$0.74,19.69
2023-12-31,13.71,$0.64,21.42
2023-09-30,14.1,$0.63,22.38
2023-06-30,12.09,$0.59,20.49
2023-03-31,11.76,$0.52,22.62
2022-12-31,9.62,$0.44,21.86
2022-09-30,10.55,$0.34,31.03
2022-06-30,11.57,$2.09,5.54
2022-03-31,11.85,$1.69,7.01
2021-12-31,12.24,$1.12,10.93
2021-09-30,9.49,$2.78,3.41
2021-06-30,8.1,$-2.89,0.0
2021-03-31,7.59,$-4.21,0.0
2020-12-31,8.13,$-2.92,0.0
2020-09-30,7.42,$-4.45,0.0
2020-06-30,5.56,$-1.15,0.0
2020-03-31,5.87,$3.79,1.55
2019-12-31,9.83,$4.17,2.36
2019-09-30,9.25,$4.20,2.2
2019-06-30,8.77,$4.21,2.08
2019-03-31,8.36,$1.74,4.8
2018-12-31,8.51,$1.48,5.75
2018-09-30,8.62,$1.65,5.22
2018-06-30,8.0,$1.05,7.62
2018-03-31,7.68,$0.33,23.27
2017-12-31,7.57,$-1.31,0.0
