Chart Industries PE Ratio Historical Data,Chart Industries PE Ratio Historical Data,Chart Industries PE Ratio Historical Data,Chart Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,126.77,,61.84
2024-06-30,144.34,$2.05,70.41
2024-03-31,164.72,$1.00,164.72
2023-12-31,136.33,$0.38,358.76
2023-09-30,169.12,$-1.51,0.0
2023-06-30,159.79,$-0.46,0.0
2023-03-31,125.4,$-0.20,0.0
2022-12-31,115.23,$0.57,202.16
2022-09-30,184.35,$1.83,100.74
2022-06-30,167.38,$1.21,138.33
2022-03-31,171.77,$1.06,162.05
2021-12-31,159.49,$1.44,110.76
2021-09-30,191.11,$8.15,23.45
2021-06-30,146.32,$8.39,17.44
2021-03-31,142.35,$8.80,16.18
2020-12-31,117.79,$8.41,14.01
2020-09-30,70.27,$1.75,40.15
2020-06-30,48.49,$1.66,29.21
2020-03-31,28.98,$1.50,19.32
2019-12-31,67.49,$1.29,52.32
2019-09-30,62.36,$2.42,25.77
2019-06-30,76.88,$2.58,29.8
2019-03-31,90.52,$2.55,35.5
2018-12-31,65.03,$2.70,24.09
2018-09-30,78.33,$2.08,37.66
2018-06-30,61.68,$1.46,42.25
2018-03-31,59.03,$1.17,50.45
2017-12-31,46.86,$0.90,52.07
2017-09-30,39.23,$-0.06,0.0
2017-06-30,34.73,$0.37,93.86
2017-03-31,34.94,$0.96,36.4
2016-12-31,36.02,$0.90,40.02
2016-09-30,32.83,$-6.53,0.0
2016-06-30,24.13,$-6.86,0.0
2016-03-31,21.72,$-6.98,0.0
2015-12-31,17.96,$-6.66,0.0
2015-09-30,19.21,$1.76,10.91
2015-06-30,35.75,$2.35,15.21
2015-03-31,35.08,$2.44,14.38
2014-12-31,34.2,$2.65,12.91
2014-09-30,61.13,$2.48,24.65
2014-06-30,82.73,$2.48,33.36
2014-03-31,79.45,$2.47,32.17
2013-12-31,95.64,$2.60,36.78
2013-09-30,123.04,$2.58,47.69
2013-06-30,94.09,$2.45,38.4
2013-03-31,80.01,$2.40,33.34
2012-12-31,66.69,$2.17,30.73
2012-09-30,73.85,$2.07,35.68
2012-06-30,68.76,$1.81,37.99
2011-12-31,54.07,$1.47,36.78
2011-09-30,42.18,$1.52,27.75
2011-06-30,53.98,$1.40,38.56
2011-03-31,55.04,$1.28,43.0
2010-12-31,33.78,$1.11,30.43
2012-03-31,73.33,$0.83,88.35
2010-09-30,20.36,$0.89,22.88
2010-06-30,15.58,$0.94,16.57
2010-03-31,20.0,$1.54,12.99
2009-12-31,16.52,$2.10,7.87
