OFG Bancorp PE Ratio Historical Data,OFG Bancorp PE Ratio Historical Data,OFG Bancorp PE Ratio Historical Data,OFG Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.57,,13.37
2024-09-30,44.92,$3.11,14.44
2024-06-30,37.24,$4.06,9.17
2024-03-31,36.36,$3.91,9.3
2023-12-31,36.77,$3.82,9.63
2023-09-30,29.13,$3.81,7.65
2023-06-30,25.25,$3.73,6.77
2023-03-31,23.95,$3.64,6.58
2022-12-31,26.23,$3.44,7.62
2022-09-30,23.75,$3.13,7.59
2022-06-30,23.81,$3.07,7.76
2022-03-31,24.83,$3.01,8.25
2021-12-31,24.61,$2.67,9.22
2021-09-30,23.27,$2.51,9.27
2021-06-30,20.31,$2.09,9.72
2020-12-31,16.9,$1.31,12.9
2020-09-30,11.32,$0.85,13.31
2020-06-30,12.08,$0.91,13.27
2020-03-31,10.04,$0.63,15.94
2019-12-31,21.08,$1.06,19.89
2021-03-31,20.7,$1.52,13.62
2019-09-30,19.5,$1.41,13.83
2019-06-30,21.09,$1.72,12.26
2019-03-31,17.51,$1.58,11.08
2018-12-31,14.51,$1.46,9.94
2018-09-30,14.18,$1.01,14.04
2018-03-31,9.1,$0.89,10.23
2017-12-31,8.14,$0.86,9.47
2017-09-30,7.87,$0.83,9.48
2017-06-30,8.55,$1.18,7.24
2017-03-31,10.03,$1.14,8.79
2016-12-31,11.07,$1.13,9.8
2018-06-30,12.29,$1.10,11.17
2016-09-30,8.51,$0.65,13.09
2016-06-30,6.94,$0.42,16.53
2016-03-31,5.8,$0.04,145.06
2015-12-31,6.02,$-0.34,0.0
2015-09-30,7.13,$0.12,59.42
2015-06-30,8.62,$0.43,20.04
2015-03-31,13.09,$0.94,13.92
2014-12-31,13.27,$1.50,8.85
2014-09-30,11.87,$1.49,7.97
2014-06-30,14.51,$1.49,9.74
2014-03-31,13.49,$1.79,7.54
2013-12-31,13.55,$1.74,7.79
2013-09-30,12.59,$0.86,14.64
2013-06-30,14.03,$0.87,16.13
2013-03-31,11.98,$0.53,22.6
2012-12-31,10.27,$0.39,26.33
2012-09-30,8.06,$0.61,13.21
2012-06-30,8.44,$0.61,13.83
2012-03-31,9.16,$0.83,11.04
2011-12-31,9.12,$0.68,13.42
2011-09-30,7.25,$0.32,22.66
2011-06-30,9.61,$0.35,27.47
2010-12-31,9.24,$0.20,46.19
2010-09-30,9.8,$-2.97,0.0
2010-06-30,9.3,$-2.26,0.0
2010-03-31,9.88,$-1.81,0.0
2009-12-31,7.88,$-0.18,0.0
2011-03-31,9.32,$3.88,2.4
