JPMorgan Chase PE Ratio Historical Data,JPMorgan Chase PE Ratio Historical Data,JPMorgan Chase PE Ratio Historical Data,JPMorgan Chase PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,224.8,,12.54
2024-06-30,201.13,$17.93,11.22
2024-03-31,198.02,$16.56,11.96
2023-12-31,167.14,$16.22,10.3
2023-09-30,141.46,$16.75,8.45
2023-06-30,140.89,$15.54,9.07
2023-03-31,125.25,$13.55,9.24
2022-12-31,127.95,$12.08,10.59
2022-09-30,98.81,$11.84,8.35
2022-06-30,105.54,$12.46,8.47
2022-03-31,126.82,$13.48,9.41
2021-12-31,146.42,$15.35,9.54
2021-09-30,150.46,$15.81,9.52
2021-06-30,142.15,$14.99,9.48
2021-03-31,138.31,$12.59,10.99
2020-12-31,114.63,$8.87,12.92
2020-09-30,86.07,$7.65,11.25
2020-06-30,83.28,$7.41,11.24
2020-03-31,78.87,$8.85,8.91
2019-12-31,121.33,$10.72,11.32
2019-09-30,101.62,$10.13,10.03
2019-06-30,95.85,$9.79,9.79
2019-03-31,86.14,$9.26,9.3
2018-12-31,82.39,$8.98,9.17
2018-09-30,94.57,$8.07,11.72
2018-06-30,86.86,$7.49,11.6
2018-03-31,91.22,$7.02,12.99
2017-12-31,88.25,$6.30,14.01
2017-09-30,78.37,$6.94,11.29
2017-06-30,74.59,$6.76,11.03
2017-03-31,71.28,$6.49,10.98
2016-12-31,69.64,$6.19,11.25
2016-09-30,53.35,$5.80,9.2
2016-06-30,49.4,$5.90,8.37
2016-03-31,46.73,$5.89,7.93
2015-12-31,51.75,$5.99,8.64
2015-09-30,47.44,$5.86,8.1
2015-06-30,52.38,$5.54,9.46
2015-03-31,46.52,$5.46,8.52
2014-12-31,47.75,$5.31,8.99
2014-09-30,45.66,$3.95,11.56
2014-06-30,43.37,$4.19,10.35
2013-12-31,43.46,$4.32,10.06
2013-09-30,38.14,$4.41,8.65
2013-06-30,38.67,$5.86,6.6
2013-03-31,34.54,$5.66,6.1
2012-12-31,31.79,$5.28,6.02
2014-03-31,45.41,$5.20,8.73
2012-09-30,29.05,$4.82,6.03
2012-06-30,25.43,$4.44,5.73
2012-03-31,32.51,$4.50,7.22
2011-12-31,23.34,$4.47,5.22
2011-09-30,20.97,$4.69,4.47
2011-06-30,28.34,$4.68,6.05
2011-03-31,31.74,$4.50,7.05
2010-12-31,29.17,$3.96,7.37
2010-09-30,26.14,$3.58,7.3
2010-06-30,25.11,$3.39,7.41
2010-03-31,30.62,$2.58,11.87
2009-12-31,28.48,$2.24,12.71
