Expros PE Ratio Historical Data,Expros PE Ratio Historical Data,Expros PE Ratio Historical Data,Expros PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.08,,0.0
2024-06-30,22.92,$-0.13,0.0
2024-03-31,19.97,$-0.18,0.0
2023-12-31,15.92,$-0.22,0.0
2023-09-30,23.23,$0.01,2323.0
2023-06-30,17.72,$-0.02,0.0
2023-03-31,18.36,$-0.14,0.0
2022-12-31,18.13,$-0.18,0.0
2022-09-30,12.74,$-1.14,0.0
2022-06-30,11.52,$-1.38,0.0
2022-03-31,17.78,$-1.70,0.0
2021-12-31,14.35,$-2.26,0.0
2021-09-30,17.64,$-1.66,0.0
2021-06-30,18.18,$-1.98,0.0
2021-03-31,21.3,$-2.52,0.0
2020-12-31,16.44,$-4.14,0.0
2020-09-30,9.24,$-8.40,0.0
2020-06-30,13.38,$-8.34,0.0
2020-03-31,15.54,$-7.86,0.0
2019-12-31,31.02,$-6.36,0.0
2019-09-30,28.5,$-2.28,0.0
2019-06-30,32.76,$-1.80,0.0
2019-03-31,37.26,$-2.10,0.0
2018-12-31,31.32,$-2.46,0.0
2018-09-30,52.08,$-4.98,0.0
2018-06-30,46.8,$-4.74,0.0
2018-03-31,32.58,$-4.74,0.0
2017-12-31,39.9,$-4.32,0.0
2017-09-30,46.32,$-3.18,0.0
2017-06-30,49.17,$-4.50,0.0
2017-03-31,62.07,$-4.98,0.0
2016-12-31,71.83,$-4.26,0.0
2016-09-30,75.38,$-2.22,0.0
2016-06-30,84.19,$-0.30,0.0
2016-03-31,94.05,$1.74,54.06
2015-12-31,94.3,$3.00,31.44
2015-09-30,85.87,$4.08,21.05
2015-06-30,104.51,$5.28,19.8
2015-03-31,102.97,$5.82,17.7
2014-12-31,90.82,$6.18,14.7
2014-09-30,101.36,$7.02,14.44
2014-06-30,132.35,$6.90,19.19
