Visteon PE Ratio Historical Data,Visteon PE Ratio Historical Data,Visteon PE Ratio Historical Data,Visteon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,90.39,,4.88
2024-06-30,106.7,$18.54,5.76
2023-12-31,124.9,$17.18,7.27
2023-09-30,138.07,$5.38,25.66
2023-06-30,143.61,$4.56,31.49
2023-03-31,156.83,$5.40,29.04
2022-12-31,130.83,$5.07,25.8
2024-03-31,117.61,$4.66,25.24
2022-09-30,106.06,$4.25,24.96
2022-06-30,103.58,$2.89,35.84
2022-03-31,109.13,$2.68,40.72
2021-12-31,111.14,$2.12,52.42
2021-09-30,94.39,$-0.59,0.0
2020-12-31,125.52,$-2.02,0.0
2020-09-30,69.22,$-1.42,0.0
2020-06-30,68.5,$-2.02,0.0
2020-03-31,47.98,$0.10,479.8
2019-12-31,86.59,$1.60,54.12
2021-06-30,120.94,$0.85,142.28
2019-09-30,82.54,$2.73,30.23
2019-06-30,58.58,$2.94,19.93
2019-03-31,67.35,$3.25,20.72
2018-12-31,60.28,$3.93,15.34
2018-09-30,92.9,$4.55,20.42
2021-03-31,121.95,$4.63,26.34
2018-06-30,129.24,$5.42,23.85
2018-03-31,110.24,$5.66,19.48
2017-12-31,125.14,$5.46,22.92
2017-09-30,123.77,$4.73,26.17
2017-06-30,102.06,$4.19,24.36
2017-03-31,97.95,$3.54,27.67
2016-12-31,80.34,$2.12,37.9
2016-09-30,71.66,$2.58,27.78
2016-06-30,65.81,$1.89,34.82
2016-03-31,79.59,$50.86,1.56
2015-12-31,67.41,$51.47,1.31
2015-09-30,59.6,$47.83,1.25
2015-06-30,61.8,$47.25,1.31
2015-03-31,56.75,$-5.83,0.0
2014-12-31,62.91,$-6.55,0.0
2014-09-30,57.25,$6.89,8.31
2014-06-30,57.11,$8.20,6.96
2014-03-31,52.06,$12.84,4.05
2013-12-31,48.21,$13.79,3.5
2013-09-30,44.53,$4.21,10.58
2013-06-30,37.16,$3.64,10.21
2013-03-31,33.97,$3.75,9.06
2012-12-31,31.68,$1.91,16.59
2012-09-30,26.17,$1.96,13.35
2012-06-30,22.08,$2.18,10.13
2011-12-31,29.4,$1.53,19.22
2011-09-30,25.31,$3.70,6.84
2011-06-30,40.27,$2.35,17.14
