Bloomin' Brands PE Ratio Historical Data,Bloomin' Brands PE Ratio Historical Data,Bloomin' Brands PE Ratio Historical Data,Bloomin' Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.84,,8.77
2024-06-30,18.97,$1.92,9.88
2023-12-31,27.26,$2.53,10.78
2023-09-30,23.56,$2.69,8.76
2023-06-30,25.52,$1.28,19.94
2023-03-31,24.1,$0.92,26.19
2022-12-31,18.73,$-0.73,0.0
2024-03-31,28.01,$-0.61,0.0
2022-09-30,16.96,$0.94,18.04
2022-06-30,15.28,$0.63,24.25
2022-03-31,20.04,$2.10,9.54
2021-12-31,19.05,$2.00,9.52
2021-09-30,22.7,$1.25,18.16
2021-06-30,24.64,$1.02,24.16
2021-03-31,24.56,$-0.78,0.0
2020-12-31,17.63,$-1.85,0.0
2020-09-30,13.86,$-1.37,0.0
2020-06-30,9.68,$-1.06,0.0
2020-03-31,6.48,$0.31,20.91
2019-12-31,19.82,$1.44,13.76
2019-09-30,16.93,$1.24,13.65
2019-06-30,16.81,$1.17,14.37
2019-03-31,18.09,$1.13,16.01
2018-12-31,15.75,$1.12,14.07
2018-09-30,17.35,$1.17,14.83
2018-06-30,17.54,$1.18,14.86
2018-03-31,21.11,$1.25,16.89
2017-12-31,18.48,$0.98,18.86
2017-09-30,15.17,$0.77,19.71
2017-06-30,18.22,$0.90,20.24
2017-03-31,16.87,$0.47,35.89
2016-12-31,15.34,$0.35,43.84
2016-09-30,14.61,$0.53,27.57
2016-06-30,15.09,$0.48,31.43
2016-03-31,14.19,$0.82,17.31
2015-12-31,14.15,$1.00,14.15
2015-09-30,15.18,$1.03,14.73
2015-06-30,17.77,$0.81,21.94
2015-03-31,20.2,$0.76,26.58
2014-12-31,20.51,$0.71,28.88
2014-09-30,15.19,$1.00,15.19
2014-06-30,18.58,$1.18,15.74
2014-03-31,19.96,$1.55,12.88
2013-12-31,19.89,$1.63,12.2
2013-09-30,19.56,$1.32,14.81
2013-06-30,20.61,$0.92,22.4
