IDACORP PE Ratio Historical Data,IDACORP PE Ratio Historical Data,IDACORP PE Ratio Historical Data,IDACORP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,103.83,,18.09
2024-06-30,92.39,$5.74,16.1
2023-12-31,95.82,$5.14,18.64
2023-09-30,90.48,$5.36,16.88
2023-06-30,98.36,$4.24,23.2
2023-03-31,103.11,$4.99,20.66
2022-12-31,101.89,$5.15,19.79
2024-03-31,91.34,$5.23,17.47
2022-09-30,92.83,$4.93,18.83
2022-06-30,98.64,$4.76,20.72
2022-03-31,106.65,$4.23,25.21
2021-12-31,104.04,$5.34,19.48
2021-09-30,94.24,$5.88,16.03
2020-12-31,85.67,$4.69,18.27
2020-09-30,70.72,$4.88,14.49
2020-06-30,76.77,$4.24,18.11
2020-03-31,76.57,$4.83,15.85
2019-12-31,92.59,$5.14,18.01
2021-06-30,88.29,$5.05,17.48
2019-09-30,97.06,$4.19,23.17
2019-06-30,85.99,$4.43,19.41
2019-03-31,85.23,$4.61,18.49
2018-12-31,79.16,$4.49,17.63
2018-09-30,83.86,$4.74,17.69
2018-06-30,77.46,$4.52,17.14
2018-03-31,73.67,$4.28,17.21
2017-12-31,75.71,$4.22,17.94
2017-09-30,72.41,$4.11,17.62
2017-06-30,69.84,$3.96,17.64
2017-03-31,67.44,$4.09,16.49
2016-12-31,65.02,$3.94,16.5
2016-09-30,62.74,$3.91,16.04
2016-06-30,64.78,$3.72,17.41
2016-03-31,58.98,$3.91,15.09
2015-12-31,53.38,$3.87,13.79
2015-09-30,50.41,$3.93,12.83
2015-06-30,43.41,$4.20,10.34
2015-03-31,48.23,$3.78,12.76
2014-12-31,50.43,$3.86,13.07
2014-09-30,40.55,$3.72,10.9
2014-06-30,43.39,$3.42,12.69
2014-03-31,41.29,$3.44,12.0
2013-12-31,38.27,$3.56,10.75
2013-09-30,35.43,$3.34,10.61
2013-06-30,34.71,$3.75,9.26
2013-03-31,34.81,$3.55,9.81
2012-12-31,31.01,$3.38,9.17
2012-09-30,30.69,$3.23,9.5
2012-06-30,29.61,$3.55,8.34
2012-03-31,28.7,$3.26,8.8
2011-12-31,29.37,$3.36,8.74
2011-09-30,25.97,$3.59,7.23
2011-06-30,26.94,$2.82,9.55
2011-03-31,25.79,$3.22,8.01
2010-12-31,24.83,$2.96,8.39
2010-09-30,23.92,$3.04,7.87
2010-06-30,21.97,$2.54,8.65
2010-03-31,22.68,$2.88,7.87
2009-12-31,20.73,$3.12,6.64
2021-03-31,89.9,$3.03,29.67
