Dyne Therapeutics PE Ratio Historical Data,Dyne Therapeutics PE Ratio Historical Data,Dyne Therapeutics PE Ratio Historical Data,Dyne Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.73,,0.0
2024-06-30,35.29,$-3.59,0.0
2024-03-31,28.39,$-3.97,0.0
2023-12-31,13.3,$-3.94,0.0
2023-09-30,8.96,$-3.59,0.0
2023-06-30,11.25,$-3.40,0.0
2023-03-31,11.52,$-3.33,0.0
2022-12-31,11.59,$-3.24,0.0
2022-09-30,12.7,$-3.50,0.0
2022-06-30,6.87,$-3.53,0.0
2022-03-31,9.64,$-3.10,0.0
2021-12-31,11.89,$-2.91,0.0
2021-09-30,16.24,$-2.55,0.0
2021-06-30,21.04,$-3.73,0.0
