Park Hotels & Resorts PE Ratio Historical Data,Park Hotels & Resorts PE Ratio Historical Data,Park Hotels & Resorts PE Ratio Historical Data,Park Hotels & Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.1,,9.79
2024-06-30,14.72,$1.44,10.22
2024-03-31,16.9,$0.44,38.42
2023-12-31,14.58,$0.46,31.7
2023-09-30,10.57,$-0.27,0.0
2023-06-30,10.87,$-0.25,0.0
2023-03-31,10.36,$1.11,9.33
2022-12-31,9.76,$0.72,13.55
2022-09-30,9.12,$0.29,31.45
2022-06-30,10.98,$-0.22,0.0
2022-03-31,15.8,$-1.37,0.0
2021-12-31,15.26,$-1.94,0.0
2021-09-30,15.47,$-2.58,0.0
2021-06-30,16.66,$-3.39,0.0
2021-03-31,17.45,$-4.00,0.0
2020-12-31,13.86,$-2.68,0.0
2020-09-30,8.08,$-1.74,0.0
2020-06-30,8.0,$-0.17,0.0
2019-12-31,19.82,$1.41,14.06
2019-09-30,18.74,$1.17,16.01
2019-06-30,20.31,$-1.74,0.0
2019-03-31,22.53,$-1.88,0.0
2018-12-31,18.57,$-1.29,0.0
2020-03-31,6.39,$-0.85,0.0
2018-09-30,22.58,$2.32,9.73
2018-06-30,20.8,$2.54,8.19
2018-03-31,17.82,$1.99,8.96
2017-12-31,18.67,$12.30,1.52
