California Resources PE Ratio Historical Data,California Resources PE Ratio Historical Data,California Resources PE Ratio Historical Data,California Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,52.32,,23.25
2024-06-30,53.22,$2.25,23.65
2024-03-31,55.1,$3.49,15.79
2023-12-31,54.68,$7.72,7.08
2023-09-30,56.01,$6.23,8.99
2023-06-30,45.29,$12.13,3.73
2023-03-31,38.5,$13.19,2.92
2022-12-31,43.51,$6.87,6.33
2022-09-30,38.43,$14.47,2.66
2022-06-30,38.37,$10.14,3.78
2022-03-31,44.41,$6.39,6.95
2021-12-31,42.23,$7.49,5.64
2021-09-30,40.37,$-1.22,0.0
