Flex PE Ratio Historical Data,Flex PE Ratio Historical Data,Flex PE Ratio Historical Data,Flex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.9,,15.65
2024-06-30,29.49,$2.23,13.22
2024-03-31,28.61,$2.30,12.44
2023-12-31,30.46,$1.68,18.13
2023-09-30,26.98,$1.73,15.6
2023-06-30,27.64,$1.72,16.07
2023-03-31,23.01,$1.71,13.46
2022-12-31,21.46,$1.76,12.19
2022-09-30,16.66,$1.74,9.57
2022-06-30,14.47,$1.93,7.5
2022-03-31,18.55,$1.94,9.56
2021-12-31,18.33,$2.05,8.94
2021-09-30,17.68,$1.98,8.93
2021-06-30,17.87,$1.51,11.83
2021-03-31,18.31,$1.20,15.26
2020-12-31,17.98,$0.83,21.66
2020-09-30,11.14,$0.64,17.41
2020-06-30,10.25,$0.19,53.95
2020-03-31,8.38,$0.18,46.53
2019-12-31,12.62,$-0.04,0.0
2019-09-30,10.47,$-0.35,0.0
2019-06-30,9.57,$0.04,239.25
2019-03-31,10.0,$0.17,58.82
2018-12-31,7.61,$0.25,30.44
2018-09-30,13.12,$0.56,23.43
2018-06-30,14.11,$0.78,18.09
2018-03-31,16.33,$0.79,20.67
2017-12-31,17.99,$0.99,18.17
2017-09-30,16.57,$1.01,16.41
2017-06-30,16.31,$0.63,25.89
2017-03-31,16.8,$0.59,28.47
2016-12-31,14.37,$0.54,26.61
2016-09-30,13.62,$0.57,23.89
2016-06-30,11.8,$0.79,14.94
2016-03-31,12.06,$0.79,15.27
2015-12-31,11.21,$0.91,12.32
2015-09-30,10.54,$0.90,11.71
2015-06-30,11.31,$0.91,12.43
2015-03-31,12.68,$1.01,12.55
2014-12-31,11.18,$0.85,13.15
2014-09-30,10.32,$0.82,12.59
2014-06-30,11.07,$0.78,14.19
2014-03-31,9.24,$0.58,15.93
2013-12-31,7.77,$0.47,16.53
2013-09-30,9.09,$0.28,32.46
2013-06-30,7.74,$0.31,24.97
2013-03-31,6.76,$0.41,16.49
2012-12-31,6.21,$0.67,9.27
2012-09-30,6.0,$0.77,7.79
2012-06-30,6.2,$0.73,8.49
2012-03-31,7.22,$0.71,10.17
2011-12-31,5.66,$0.66,8.58
2011-09-30,5.63,$0.78,7.22
2011-06-30,6.42,$0.78,8.23
2011-03-31,7.47,$0.75,9.96
2010-12-31,7.85,$0.65,12.08
2010-09-30,6.04,$0.50,12.08
2010-06-30,5.6,$0.34,16.47
2010-03-31,7.84,$0.01,0.0
2009-12-31,7.31,$-0.36,0.0
