Ford Motor PE Ratio Historical Data,Ford Motor PE Ratio Historical Data,Ford Motor PE Ratio Historical Data,Ford Motor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,11.19,,11.66
2024-06-30,12.35,$0.96,12.87
2024-03-31,12.92,$0.97,13.32
2023-12-31,11.55,$1.08,10.7
2023-09-30,11.59,$1.53,7.58
2023-06-30,13.97,$1.02,13.7
2023-03-31,11.49,$0.71,16.18
2022-12-31,9.98,$-0.51,0.0
2022-09-30,9.51,$2.20,4.32
2022-06-30,9.36,$2.86,3.27
2022-03-31,14.13,$2.84,4.97
2021-12-31,17.26,$4.43,3.9
2021-09-30,11.71,$0.70,16.73
2021-06-30,12.29,$0.85,14.46
2021-03-31,10.13,$0.99,10.23
2020-12-31,7.27,$-0.32,0.0
2020-09-30,5.51,$-0.04,0.0
2020-06-30,5.03,$-0.53,0.0
2020-03-31,3.99,$-0.77,0.0
2019-12-31,7.56,$0.02,378.11
2019-09-30,7.33,$0.41,17.87
2019-06-30,8.06,$0.55,14.66
2019-03-31,6.81,$0.78,8.73
2018-12-31,5.83,$0.92,6.34
2018-09-30,6.93,$1.55,4.47
2018-06-30,8.18,$1.69,4.84
2018-03-31,8.08,$1.93,4.18
2017-12-31,8.88,$1.90,4.67
2017-09-30,8.41,$1.10,7.64
2017-06-30,7.76,$0.95,8.17
2017-03-31,7.96,$0.93,8.56
2016-12-31,8.17,$1.14,7.16
2016-09-30,8.02,$1.81,4.43
2016-06-30,8.27,$2.05,4.03
2016-03-31,8.78,$2.03,4.33
2015-12-31,8.87,$1.65,5.37
2015-09-30,8.46,$1.19,7.11
2015-06-30,9.26,$0.92,10.07
2015-03-31,9.87,$0.77,12.81
2014-12-31,9.38,$0.78,12.02
2014-09-30,8.87,$1.51,5.87
2014-06-30,10.26,$1.61,6.38
2014-03-31,9.22,$1.59,5.8
2013-12-31,9.04,$1.75,5.17
2013-09-30,9.83,$1.41,6.97
2013-06-30,8.96,$1.51,5.93
2013-03-31,7.56,$1.47,5.14
2012-12-31,7.39,$1.42,5.21
2012-09-30,5.6,$4.42,1.27
2012-06-30,5.42,$4.42,1.23
2012-03-31,7.02,$4.75,1.48
2011-12-31,6.03,$5.01,1.2
2011-09-30,5.42,$1.66,3.26
2011-06-30,7.73,$1.86,4.15
2011-03-31,8.35,$1.77,4.72
2010-12-31,9.41,$1.41,6.67
2010-06-30,5.65,$1.65,3.42
2010-03-31,7.04,$1.73,4.07
2009-12-31,5.6,$0.63,8.89
2009-09-30,4.04,$0.81,4.99
