Werner Enterprises PE Ratio Historical Data,Werner Enterprises PE Ratio Historical Data,Werner Enterprises PE Ratio Historical Data,Werner Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.44,,37.82
2024-06-30,35.55,$0.99,35.91
2024-03-31,38.67,$1.31,29.52
2023-12-31,41.88,$1.76,23.8
2023-09-30,38.37,$2.33,16.47
2023-06-30,43.37,$2.82,15.38
2023-03-31,44.39,$3.47,12.79
2022-12-31,39.29,$3.74,10.51
2022-09-30,36.58,$3.95,9.26
2022-06-30,37.24,$4.03,9.24
2022-03-31,39.49,$3.97,9.95
2021-12-31,45.9,$3.83,11.98
2021-09-30,42.41,$3.56,11.91
2021-06-30,42.54,$3.29,12.93
2021-03-31,44.97,$2.79,16.12
2020-12-31,37.39,$2.81,13.31
2020-09-30,39.86,$2.49,16.01
2020-06-30,41.24,$2.44,16.9
2019-12-31,34.31,$2.39,14.36
2019-09-30,33.19,$2.46,13.49
2019-06-30,29.22,$2.23,13.11
2019-03-31,28.34,$2.27,12.49
2018-12-31,24.52,$2.29,10.71
2020-03-31,34.27,$1.90,18.04
2018-09-30,29.34,$3.51,8.36
2018-06-30,31.08,$3.16,9.84
2018-03-31,30.08,$2.95,10.2
2017-12-31,31.86,$2.79,11.42
2017-09-30,30.07,$1.15,26.15
2017-06-30,24.1,$1.10,21.91
2017-03-31,21.41,$1.03,20.79
2016-12-31,22.03,$1.09,20.21
2016-09-30,18.98,$1.30,14.6
2016-06-30,18.64,$1.48,12.59
2016-03-31,21.99,$1.67,13.17
2015-12-31,18.93,$1.71,11.07
2015-09-30,20.22,$1.65,12.25
2015-06-30,21.11,$1.57,13.44
2015-03-31,25.21,$1.48,17.04
2014-12-31,25.0,$1.36,18.39
2014-09-30,20.15,$1.21,16.66
2014-06-30,21.16,$1.14,18.56
2014-03-31,20.32,$1.14,17.83
2013-12-31,19.66,$1.18,16.66
2013-09-30,18.51,$1.23,15.05
2013-06-30,19.18,$1.28,14.98
2013-03-31,19.07,$1.35,14.13
2012-12-31,17.08,$1.40,12.2
2012-09-30,15.76,$1.45,10.87
2012-06-30,17.59,$1.51,11.65
2012-03-31,18.22,$1.47,12.4
2011-12-31,17.63,$1.40,12.59
2011-09-30,14.9,$1.33,11.21
2011-06-30,17.88,$1.26,14.19
2011-03-31,18.82,$1.17,16.09
2010-12-31,16.03,$1.10,14.58
2010-09-30,13.47,$1.02,13.21
2010-06-30,14.33,$0.95,15.08
2010-03-31,15.13,$0.84,18.02
2009-12-31,12.9,$0.79,16.33
