Centrus Energy PE Ratio Historical Data,Centrus Energy PE Ratio Historical Data,Centrus Energy PE Ratio Historical Data,Centrus Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,81.05,,14.45
2024-06-30,42.75,$5.61,7.62
2024-03-31,41.53,$4.55,9.13
2023-12-31,54.41,$5.40,10.08
2023-09-30,56.76,$3.14,18.08
2023-06-30,32.56,$2.20,14.8
2023-03-31,32.2,$3.88,8.3
2022-12-31,32.48,$3.38,9.61
2022-09-30,40.98,$8.03,5.1
2022-06-30,24.75,$11.40,2.17
2022-03-31,33.7,$9.68,3.48
2021-12-31,49.91,$9.54,5.23
2021-09-30,38.66,$1.02,37.9
2021-06-30,25.38,$-2.76,0.0
2021-03-31,23.72,$-0.36,0.0
2020-12-31,23.13,$-0.68,0.0
2020-09-30,8.37,$4.04,2.07
2020-06-30,10.04,$3.03,3.31
2019-12-31,6.88,$-2.56,0.0
2019-09-30,3.65,$-7.17,0.0
2019-06-30,3.26,$-8.39,0.0
2019-03-31,2.79,$-7.61,0.0
2018-12-31,1.69,$-8.29,0.0
2020-03-31,5.07,$-6.16,0.0
2018-09-30,2.69,$-3.42,0.0
2018-06-30,3.44,$-3.51,0.0
2018-03-31,3.55,$-3.12,0.0
2017-12-31,4.01,$0.57,7.04
2017-09-30,3.73,$-4.02,0.0
2017-06-30,4.23,$-7.41,0.0
2017-03-31,6.05,$-5.04,0.0
2016-12-31,6.38,$-7.36,0.0
2016-09-30,3.98,$-17.65,0.0
2016-06-30,3.28,$-19.16,0.0
2016-03-31,4.51,$-20.52,0.0
2015-12-31,1.32,$-20.63,0.0
2015-09-30,3.05,$-14.14,0.0
2015-06-30,4.13,$47.03,0.09
2015-03-31,5.11,$-13.56,0.0
2014-12-31,4.3,$-124.93,0.0
2014-09-30,10.21,$-279.78,0.0
2014-06-30,3.03,$-433.48,0.0
2014-03-31,4.02,$-462.27,0.0
2013-12-31,6.62,"$-2,759.22",0.0
2013-09-30,10.52,"$-2,588.77",0.0
2013-06-30,7.25,"$-2,697.38",0.0
2012-12-31,13.25,"$-2,671.76",0.0
2012-09-30,19.5,"$-1,376.77",0.0
2012-06-30,24.75,"$-1,393.13",0.0
2012-03-31,26.5,"$-1,202.29",0.0
2011-12-31,28.5,"$-1,185.93",0.0
2013-03-31,9.25,$-109.05,0.0
2011-09-30,40.25,$-89.97,0.0
2011-06-30,83.5,$-70.88,0.0
2011-03-31,110.0,$-10.91,0.0
2010-12-31,150.5,$2.73,55.22
2010-09-30,129.75,$73.61,1.76
2010-06-30,119.0,$54.53,2.18
2010-03-31,144.25,$73.61,1.96
2009-12-31,96.25,$92.69,1.04
