Thor Industries PE Ratio Historical Data,Thor Industries PE Ratio Historical Data,Thor Industries PE Ratio Historical Data,Thor Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,113.96,,23.12
2024-07-31,106.14,$4.93,21.53
2024-04-30,98.91,$4.93,20.06
2024-01-31,111.96,$5.04,22.21
2023-10-31,86.76,$5.41,16.04
2023-07-31,113.34,$6.95,16.31
2023-04-30,77.2,$10.42,7.41
2023-01-31,92.62,$14.50,6.39
2022-10-31,78.69,$18.79,4.19
2022-07-31,81.0,$20.60,3.93
2022-04-30,73.11,$19.57,3.74
2022-01-31,89.86,$16.54,5.43
2021-10-31,96.46,$14.13,6.83
2021-07-31,111.53,$11.84,9.42
2021-04-30,132.95,$9.86,13.48
2021-01-31,113.28,$7.00,16.18
2020-10-31,78.83,$5.14,15.34
2020-07-31,105.76,$4.01,26.37
2020-04-30,61.19,$3.54,17.29
2020-01-31,73.65,$3.70,19.9
2019-10-31,57.55,$3.08,18.69
2019-07-31,53.89,$2.42,22.27
2019-04-30,59.17,$2.42,24.45
2019-01-31,58.12,$4.36,13.33
2018-10-31,61.68,$5.97,10.33
2018-07-31,83.55,$8.14,10.26
2018-04-30,93.14,$8.73,10.67
2018-01-31,119.53,$8.31,14.38
2017-10-31,118.85,$8.03,14.8
2017-07-31,91.66,$7.17,12.78
2017-04-30,83.42,$6.40,13.04
2017-01-31,89.47,$5.14,17.41
2016-07-31,65.69,$4.87,13.49
2016-04-30,54.69,$4.61,11.86
2016-01-31,44.58,$4.61,9.67
2015-10-31,45.74,$4.93,9.28
2015-07-31,46.99,$4.51,10.42
2016-10-31,68.35,$3.93,17.39
2015-04-30,50.37,$3.69,13.65
2015-01-31,46.97,$3.55,13.23
2014-10-31,43.87,$3.31,13.25
2014-07-31,43.7,$3.35,13.04
2014-04-30,50.02,$3.19,15.68
2014-01-31,42.05,$2.98,14.11
2013-10-31,46.46,$3.05,15.23
2013-07-31,43.12,$2.86,15.08
2013-04-30,29.48,$2.61,11.29
2013-01-31,33.27,$2.57,12.95
2012-10-31,28.9,$2.45,11.8
2012-07-31,21.72,$2.28,9.53
2012-04-30,25.44,$2.10,12.12
2012-01-31,22.95,$2.04,11.25
2011-10-31,19.68,$1.89,10.41
2011-07-31,18.27,$1.92,9.52
2011-04-30,22.83,$2.04,11.19
2011-01-31,27.28,$1.98,13.78
2010-10-31,23.05,$2.10,10.98
2010-07-31,20.31,$2.08,9.77
2010-04-30,25.98,$1.75,14.85
2010-01-31,23.05,$1.13,20.4
2009-10-31,18.99,$0.64,29.67
