Renasant PE Ratio Historical Data,Renasant PE Ratio Historical Data,Renasant PE Ratio Historical Data,Renasant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.21,,12.96
2024-06-30,30.34,$2.64,11.49
2024-03-31,30.87,$2.46,12.55
2023-12-31,32.95,$2.58,12.77
2023-09-30,25.45,$2.90,8.78
2023-06-30,25.18,$2.98,8.45
2023-03-31,29.26,$3.18,9.2
2022-12-31,35.72,$2.96,12.07
2022-09-30,29.55,$2.80,10.55
2022-06-30,27.04,$2.68,10.09
2022-03-31,31.15,$2.69,11.58
2021-12-31,35.13,$3.11,11.3
2021-09-30,33.17,$3.01,11.02
2021-06-30,36.57,$2.83,12.92
2021-03-31,37.64,$2.47,15.24
2020-12-31,30.48,$1.49,20.46
2020-09-30,20.43,$1.60,12.77
2020-06-30,22.18,$1.71,12.97
2020-03-31,19.28,$2.15,8.97
2019-12-31,30.95,$2.88,10.75
2019-09-30,30.41,$2.97,10.24
2019-06-30,31.03,$2.94,10.55
2019-03-31,29.04,$2.88,10.08
2018-12-31,25.74,$2.79,9.22
2018-09-30,35.14,$2.36,14.89
2018-06-30,38.64,$2.28,16.95
2018-03-31,35.98,$2.11,17.05
2017-12-31,34.42,$1.97,17.47
2017-09-30,35.94,$2.19,16.41
2017-06-30,36.48,$2.21,16.51
2017-03-31,32.96,$2.18,15.12
2016-12-31,34.91,$2.16,16.16
2016-09-30,27.69,$2.13,13.0
2016-06-30,26.49,$1.98,13.38
2016-03-31,26.82,$1.92,13.97
2015-12-31,27.89,$1.88,14.84
2015-09-30,26.5,$1.85,14.33
2015-06-30,26.16,$1.94,13.49
2015-03-31,23.99,$1.93,12.43
2014-12-31,22.96,$1.88,12.21
2014-09-30,21.34,$1.75,12.19
2014-06-30,22.8,$1.50,15.2
2014-03-31,22.65,$1.35,16.78
2013-12-31,24.38,$1.22,19.99
2013-09-30,20.93,$1.15,18.2
2013-06-30,18.63,$1.19,15.66
2013-03-31,17.01,$1.12,15.19
2012-12-31,14.44,$1.06,13.62
2012-09-30,14.65,$1.00,14.65
2012-06-30,11.64,$0.98,11.88
2012-03-31,11.93,$0.96,12.42
2011-12-31,10.87,$1.02,10.66
2011-09-30,9.12,$0.98,9.3
2011-06-30,10.24,$1.53,6.69
2011-03-31,11.86,$1.48,8.01
2010-12-31,11.68,$1.35,8.65
2010-09-30,10.4,$1.35,7.7
2010-06-30,9.7,$0.74,13.1
2010-03-31,10.8,$0.76,14.21
2009-12-31,8.98,$0.87,10.33
