Corcept Therapeutics PE Ratio Historical Data,Corcept Therapeutics PE Ratio Historical Data,Corcept Therapeutics PE Ratio Historical Data,Corcept Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.17,,41.74
2024-06-30,32.49,$1.13,28.75
2024-03-31,25.19,$1.06,23.76
2023-12-31,32.48,$0.95,34.19
2023-09-30,27.25,$0.81,33.64
2023-06-30,22.25,$0.83,26.81
2023-03-31,21.66,$0.82,26.41
2022-12-31,20.31,$0.88,23.08
2022-09-30,25.64,$1.00,25.64
2022-06-30,23.78,$0.94,25.3
2022-03-31,22.52,$0.91,24.75
2021-12-31,19.8,$0.89,22.25
2021-09-30,19.68,$0.83,23.71
2021-06-30,22.0,$0.76,28.95
2021-03-31,23.79,$0.78,30.5
2020-12-31,26.16,$0.85,30.78
2020-09-30,17.41,$0.89,19.56
2020-06-30,16.82,$0.94,17.89
2020-03-31,11.89,$0.88,13.51
2019-12-31,12.1,$0.78,15.51
2019-09-30,14.14,$0.72,19.63
2019-06-30,11.15,$0.64,17.42
2019-03-31,11.74,$0.61,19.25
2018-12-31,13.36,$0.60,22.27
2018-09-30,14.02,$1.19,11.78
2018-06-30,15.72,$1.16,13.55
2018-03-31,16.45,$1.12,14.69
2017-12-31,18.06,$1.02,17.71
2017-09-30,19.3,$0.29,66.55
2017-06-30,11.8,$0.20,59.0
2017-03-31,10.96,$0.11,99.64
2016-12-31,7.26,$0.07,103.71
2016-09-30,6.5,$0.04,162.5
2016-06-30,5.46,$0.01,546.0
2016-03-31,4.68,$-0.02,0.0
2015-12-31,4.98,$-0.07,0.0
2015-09-30,3.76,$-0.12,0.0
2015-06-30,6.01,$-0.17,0.0
2015-03-31,5.6,$-0.22,0.0
2014-12-31,3.0,$-0.31,0.0
2014-09-30,2.68,$-0.38,0.0
2014-06-30,2.8,$-0.43,0.0
2014-03-31,4.36,$-0.48,0.0
2013-12-31,3.21,$-0.45,0.0
2013-09-30,1.59,$-0.42,0.0
2013-03-31,2.0,$-0.40,0.0
2012-12-31,1.43,$-0.41,0.0
2012-09-30,2.79,$-0.42,0.0
2012-06-30,4.49,$-0.46,0.0
2012-03-31,3.93,$-0.45,0.0
2011-12-31,3.42,$-0.43,0.0
2013-06-30,1.73,$-0.40,0.0
2011-09-30,3.1,$-0.38,0.0
2011-06-30,3.99,$-0.40,0.0
2011-03-31,4.25,$-0.38,0.0
2010-12-31,3.86,$-0.39,0.0
2010-09-30,3.89,$-0.38,0.0
2010-06-30,3.12,$-0.37,0.0
2010-03-31,2.85,$-0.38,0.0
2009-12-31,2.78,$-0.39,0.0
