Apple Hospitality REIT PE Ratio Historical Data,Apple Hospitality REIT PE Ratio Historical Data,Apple Hospitality REIT PE Ratio Historical Data,Apple Hospitality REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.23,,17.31
2024-06-30,14.31,$0.88,16.26
2024-03-31,15.94,$0.86,18.54
2023-12-31,15.93,$0.78,20.42
2023-09-30,14.45,$0.70,20.65
2023-06-30,14.02,$0.70,20.02
2023-03-31,14.17,$0.70,20.24
2022-12-31,14.19,$0.64,22.18
2022-09-30,12.34,$0.69,17.89
2022-06-30,12.74,$0.57,22.35
2022-03-31,15.47,$0.37,41.81
2021-12-31,13.87,$0.08,173.32
2021-09-30,13.5,$-0.21,0.0
2021-06-30,13.09,$-0.53,0.0
2021-03-31,12.49,$-0.97,0.0
2020-12-31,11.06,$-0.77,0.0
2020-09-30,8.23,$-0.43,0.0
2020-06-30,8.27,$-0.04,0.0
2020-03-31,7.85,$0.59,13.31
2019-12-31,13.63,$0.77,17.7
2019-09-30,13.65,$0.81,16.86
2019-06-30,12.81,$0.87,14.73
2019-03-31,12.93,$0.88,14.69
2018-12-31,11.17,$0.89,12.55
2018-09-30,13.45,$0.73,18.43
2018-06-30,13.6,$0.74,18.38
2018-03-31,13.07,$0.84,15.56
2017-12-31,14.36,$0.81,17.72
2017-09-30,13.63,$1.01,13.49
2017-06-30,13.34,$0.80,16.67
2017-03-31,13.4,$0.72,18.61
2016-12-31,13.8,$0.77,17.93
2016-09-30,12.59,$0.48,26.22
2016-06-30,12.59,$0.68,18.52
2016-03-31,13.05,$0.61,21.4
