Axonics PE Ratio Historical Data,Axonics PE Ratio Historical Data,Axonics PE Ratio Historical Data,Axonics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,70.3,,0.0
2024-06-30,67.23,$-0.04,0.0
2024-03-31,68.97,$-0.32,0.0
2023-12-31,62.23,$-0.13,0.0
2023-09-30,56.12,$-0.25,0.0
2023-06-30,50.47,$-0.67,0.0
2023-03-31,54.56,$-0.99,0.0
2022-12-31,62.53,$-1.14,0.0
2022-09-30,70.44,$-1.53,0.0
2022-06-30,56.67,$-1.78,0.0
2021-12-31,56.0,$-1.88,0.0
2021-09-30,65.09,$-1.83,0.0
2021-06-30,63.41,$-1.69,0.0
2021-03-31,59.89,$-1.64,0.0
2020-12-31,49.92,$-1.50,0.0
2020-09-30,51.04,$-1.96,0.0
2020-06-30,35.11,$-2.61,0.0
2020-03-31,25.41,$-2.75,0.0
2019-12-31,27.71,$-2.79,0.0
2019-09-30,26.92,$-2.54,0.0
2019-06-30,40.97,$-2.15,0.0
