Oxford Industries PE Ratio Historical Data,Oxford Industries PE Ratio Historical Data,Oxford Industries PE Ratio Historical Data,Oxford Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,79.66,,43.77
2024-07-31,105.33,$1.82,57.87
2024-04-30,107.05,$2.47,43.34
2024-01-31,93.68,$3.69,25.39
2023-10-31,82.73,$9.54,8.67
2023-07-31,104.97,$10.08,10.41
2023-04-30,99.81,$10.35,9.64
2023-01-31,112.65,$10.16,11.09
2022-10-31,97.25,$9.66,10.07
2022-07-31,90.65,$9.98,9.08
2022-04-30,84.59,$9.54,8.87
2022-01-31,77.32,$7.79,9.93
2021-10-31,86.63,$5.55,15.61
2021-07-31,80.86,$3.37,23.99
2021-04-30,84.48,$-0.05,0.0
2021-01-31,60.16,$-0.85,0.0
2020-10-31,37.83,$-0.01,0.0
2020-07-31,39.24,$2.39,16.42
2020-01-31,62.64,$4.05,15.47
2019-10-31,61.84,$4.14,14.94
2019-07-31,65.38,$0.02,3269.21
2019-04-30,73.81,$-1.63,0.0
2019-01-31,67.74,$-1.31,0.0
2020-04-30,38.09,$-1.07,0.0
2018-10-31,78.36,$4.39,17.85
2018-07-31,80.79,$4.34,18.62
2018-04-30,67.32,$4.09,16.46
2018-01-31,68.55,$3.89,17.62
2017-10-31,56.01,$3.05,18.36
2017-07-31,54.5,$2.89,18.86
2017-04-30,49.83,$2.97,16.78
2017-01-31,47.06,$3.15,14.94
2016-10-31,53.39,$3.60,14.83
2016-07-31,48.48,$3.57,13.58
2016-04-30,56.06,$2.01,27.89
2016-01-31,58.71,$1.84,31.91
2015-10-31,60.94,$1.75,34.82
2015-07-31,70.0,$1.88,37.23
2015-04-30,66.06,$2.92,22.62
2015-01-31,46.36,$2.79,16.62
2014-10-31,50.57,$2.74,18.45
2014-07-31,49.0,$2.79,17.56
2014-04-30,54.12,$2.83,19.12
2014-01-31,61.69,$2.74,22.51
2013-10-31,58.53,$2.15,27.22
2013-07-31,55.05,$2.28,24.14
2013-04-30,47.97,$1.62,29.61
2013-01-31,39.93,$1.89,21.13
2012-10-31,44.72,$2.00,22.36
2012-07-31,34.76,$1.92,18.11
2012-04-30,38.45,$1.78,21.6
2012-01-31,40.67,$1.79,22.72
2011-10-31,31.45,$4.58,6.87
2011-07-31,31.09,$4.81,6.46
2011-04-30,27.16,$5.09,5.34
2011-01-31,18.64,$4.75,3.92
2010-10-31,18.06,$1.77,10.2
2010-07-31,17.48,$1.71,10.22
2010-04-30,16.77,$1.30,12.9
2010-01-31,13.79,$0.96,14.36
2009-10-31,14.89,$-17.45,0.0
