Ready Capital Corp PE Ratio Historical Data,Ready Capital Corp PE Ratio Historical Data,Ready Capital Corp PE Ratio Historical Data,Ready Capital Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.25,,0.0
2024-06-30,7.92,$-0.38,0.0
2024-03-31,8.53,$1.61,5.3
2023-12-31,9.26,$2.34,3.96
2023-09-30,8.88,$2.39,3.72
2023-06-30,9.57,$2.64,3.63
2023-03-31,8.32,$1.33,6.25
2022-12-31,8.76,$1.70,5.15
2022-09-30,7.69,$2.29,3.36
2022-06-30,8.67,$2.39,3.63
2022-03-31,10.58,$2.32,4.56
2021-12-31,10.69,$2.15,4.97
2021-09-30,9.61,$1.96,4.9
2021-06-30,10.27,$1.99,5.16
2021-03-31,8.4,$2.23,3.76
2020-12-31,7.64,$0.76,10.05
2020-09-30,6.68,$0.70,9.54
2020-06-30,5.04,$0.34,14.84
2020-03-31,4.08,$-0.03,0.0
2019-12-31,8.22,$1.85,4.44
2019-09-30,8.27,$1.72,4.81
2019-06-30,7.55,$1.98,3.81
2019-03-31,7.24,$2.21,3.27
2018-12-31,6.64,$1.87,3.55
2018-09-30,7.78,$1.95,3.99
2018-06-30,7.41,$1.79,4.14
2018-03-31,6.74,$1.65,4.09
2017-12-31,6.58,$1.38,4.77
2017-09-30,6.65,$1.83,3.64
2017-06-30,6.15,$1.92,3.2
2017-03-31,5.84,$1.45,4.03
2016-12-31,5.3,$0.78,6.79
2016-09-30,5.54,$-0.26,0.0
2016-06-30,5.12,$-1.48,0.0
2016-03-31,5.42,$-0.70,0.0
2015-12-31,5.33,$-0.27,0.0
2015-09-30,4.61,$-0.04,0.0
2015-06-30,5.41,$0.86,6.29
2015-03-31,5.83,$2.68,2.17
2014-12-31,5.51,$2.91,1.89
2014-09-30,5.39,$3.87,1.39
2014-06-30,5.07,$4.20,1.21
2014-03-31,4.96,$0.88,5.64
2013-12-31,4.66,$0.92,5.07
