TriMas PE Ratio Historical Data,TriMas PE Ratio Historical Data,TriMas PE Ratio Historical Data,TriMas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.1,,28.67
2024-06-30,25.52,$0.98,26.04
2024-03-31,26.64,$0.97,27.47
2023-12-31,25.2,$0.97,25.98
2023-09-30,24.6,$1.23,20.0
2023-06-30,27.27,$1.15,23.71
2023-03-31,27.59,$1.36,20.29
2022-12-31,27.44,$1.57,17.48
2022-09-30,24.75,$1.42,17.43
2022-06-30,27.3,$1.55,17.61
2022-03-31,31.6,$1.35,23.41
2021-12-31,36.39,$1.32,27.57
2021-09-30,31.79,$1.56,20.38
2021-06-30,29.79,$-1.21,0.0
2021-03-31,29.78,$-1.84,0.0
2020-12-31,31.11,$-1.84,0.0
2020-09-30,22.4,$-1.53,0.0
2020-06-30,23.53,$1.21,19.44
2020-03-31,22.69,$2.05,11.07
2019-12-31,30.85,$2.17,14.22
2019-09-30,30.11,$1.68,17.92
2019-06-30,30.42,$1.75,17.38
2019-03-31,29.69,$1.69,17.57
2018-12-31,26.81,$1.80,14.89
2018-09-30,29.86,$1.35,22.12
2018-06-30,28.88,$1.15,25.11
2018-03-31,25.79,$1.05,24.56
2017-12-31,26.28,$0.67,39.22
2017-09-30,26.52,$-0.72,0.0
2017-06-30,20.48,$-0.82,0.0
2017-03-31,20.38,$-0.91,0.0
2016-12-31,23.08,$-2.41,0.0
2016-09-30,18.28,$-0.67,0.0
2016-06-30,17.68,$-0.82,0.0
2015-12-31,18.32,$-0.74,0.0
2015-09-30,16.06,$0.64,25.09
2015-06-30,23.3,$0.56,41.6
2015-03-31,24.23,$1.01,23.99
2014-12-31,24.63,$1.28,19.24
2016-03-31,17.21,$1.66,10.37
2014-09-30,19.15,$1.63,11.75
2014-06-30,30.01,$1.84,16.31
2014-03-31,26.13,$1.93,13.54
2013-12-31,31.39,$1.85,16.97
2013-09-30,29.36,$1.35,21.75
2013-06-30,29.34,$1.12,26.2
2013-03-31,25.55,$0.89,28.71
2012-12-31,22.04,$0.92,23.96
2012-09-30,18.98,$1.65,11.5
2012-06-30,15.82,$1.70,9.31
2012-03-31,17.62,$1.75,10.07
2011-12-31,14.13,$1.73,8.17
2011-09-30,11.69,$1.51,7.74
2011-06-30,19.48,$1.36,14.32
2011-03-31,16.92,$1.49,11.36
2010-12-31,16.1,$1.31,12.29
2010-09-30,11.69,$0.81,14.43
2010-06-30,8.9,$0.61,14.59
2010-03-31,5.11,$0.26,19.65
2009-12-31,5.33,$-0.01,0.0
