Travelers PE Ratio Historical Data,Travelers PE Ratio Historical Data,Travelers PE Ratio Historical Data,Travelers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,228.07,,14.42
2024-06-30,203.34,$15.82,12.85
2024-03-31,229.01,$13.46,17.01
2023-12-31,188.7,$12.79,14.75
2023-09-30,160.89,$9.24,17.41
2023-06-30,170.03,$9.39,18.11
2023-03-31,166.87,$11.73,14.23
2022-12-31,181.55,$11.75,15.45
2022-09-30,147.62,$13.68,10.79
2022-06-30,162.05,$14.41,11.25
2022-03-31,174.14,$15.80,11.02
2021-12-31,148.31,$14.52,10.21
2021-09-30,143.3,$14.25,10.06
2021-06-30,140.35,$14.86,9.44
2021-03-31,140.2,$11.04,12.7
2020-12-31,130.13,$10.50,12.39
2020-09-30,99.67,$8.75,11.39
2020-06-30,104.29,$7.02,14.86
2020-03-31,90.23,$9.28,9.72
2019-12-31,123.51,$9.94,12.43
2019-09-30,133.29,$8.91,14.96
2019-06-30,133.31,$10.03,13.29
2019-03-31,121.62,$9.85,12.35
2018-12-31,105.56,$9.28,11.38
2018-09-30,113.63,$8.94,12.71
2018-06-30,106.55,$7.37,14.46
2018-03-31,120.22,$7.56,15.9
2017-12-31,116.83,$7.31,15.98
2017-09-30,104.96,$8.61,12.19
2017-06-30,107.73,$10.01,10.76
2017-03-31,102.03,$10.14,10.06
2016-12-31,103.05,$10.27,10.03
2016-09-30,95.88,$9.82,9.76
2016-06-30,99.08,$10.34,9.58
2016-03-31,96.58,$10.63,9.09
2015-12-31,92.88,$10.88,8.54
2015-09-30,81.47,$11.15,7.31
2015-06-30,78.64,$10.87,7.23
2015-03-31,87.42,$10.30,8.49
2014-12-31,85.14,$10.70,7.96
2014-09-30,75.17,$10.30,7.3
2014-06-30,74.83,$9.91,7.55
2014-03-31,67.3,$10.36,6.5
2013-12-31,71.18,$9.74,7.31
2013-09-30,66.27,$7.82,8.47
2013-06-30,62.1,$7.73,8.03
2013-03-31,65.02,$6.58,9.88
2012-12-31,55.15,$6.27,8.8
2012-09-30,52.09,$7.00,7.44
2012-06-30,48.38,$5.58,8.67
2012-03-31,44.53,$3.45,12.91
2011-12-31,44.19,$3.35,13.19
2011-09-30,36.13,$3.82,9.46
2011-06-30,42.93,$5.16,8.32
2011-03-31,43.44,$7.40,5.87
2010-12-31,40.44,$6.74,6.0
2010-09-30,37.58,$7.14,5.26
2010-06-30,35.27,$6.67,5.29
2010-03-31,38.34,$6.57,5.84
2009-12-31,35.23,$6.42,5.49
