Equitable Holdings PE Ratio Historical Data,Equitable Holdings PE Ratio Historical Data,Equitable Holdings PE Ratio Historical Data,Equitable Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,45.51,,18.96
2024-06-30,40.6,$2.40,16.92
2024-03-31,37.77,$3.23,11.69
2023-12-31,32.88,$3.38,9.73
2023-09-30,27.83,$3.32,8.38
2023-06-30,26.42,$0.99,26.68
2023-03-31,24.49,$3.40,7.2
2022-12-31,27.5,$4.38,6.28
2022-09-30,25.09,$7.15,3.51
2022-06-30,24.65,$8.05,3.06
2022-03-31,29.03,$3.81,7.62
2021-12-31,30.63,$13.98,2.19
2021-09-30,27.54,$10.58,2.6
2021-06-30,28.13,$7.22,3.9
2021-03-31,29.97,$-1.97,0.0
2020-12-31,23.38,$-1.92,0.0
2020-09-30,16.55,$-1.05,0.0
2020-06-30,17.37,$-0.06,0.0
2020-03-31,12.89,$9.64,1.34
2019-12-31,21.94,$-3.51,0.0
2019-09-30,19.49,$2.03,9.6
2019-06-30,18.25,$1.92,9.51
2019-03-31,17.46,$1.46,11.96
