Phibro Animal Health PE Ratio Historical Data,Phibro Animal Health PE Ratio Historical Data,Phibro Animal Health PE Ratio Historical Data,Phibro Animal Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.36,,406.0
2024-06-30,16.67,$0.06,277.8
2024-03-31,12.76,$0.32,39.88
2023-12-31,11.33,$0.36,31.47
2023-09-30,12.34,$0.51,24.19
2023-06-30,13.12,$0.81,16.2
2023-03-31,14.54,$0.71,20.48
2022-12-31,12.63,$0.90,14.04
2022-09-30,12.4,$1.15,10.78
2022-06-30,17.7,$1.21,14.63
2022-03-31,18.34,$1.45,12.65
2021-12-31,18.67,$1.31,14.25
2021-09-30,19.59,$1.20,16.32
2021-06-30,26.13,$1.34,19.5
2021-03-31,21.98,$1.06,20.74
2020-12-31,17.4,$1.09,15.96
2020-09-30,15.5,$1.06,14.62
2020-06-30,23.26,$0.82,28.37
2020-03-31,21.3,$0.90,23.67
2019-12-31,21.78,$0.94,23.17
2019-09-30,18.62,$1.01,18.44
2019-06-30,27.57,$1.35,20.42
2019-03-31,28.52,$1.68,16.98
2018-12-31,27.68,$1.80,15.38
2018-09-30,36.79,$1.61,22.85
2018-06-30,39.41,$1.60,24.63
2018-03-31,33.9,$1.43,23.71
2017-12-31,28.54,$1.53,18.65
2017-09-30,31.47,$1.70,18.51
2017-06-30,31.38,$1.62,19.37
2017-03-31,23.73,$1.62,14.65
2016-12-31,24.66,$1.49,16.55
2016-09-30,22.79,$1.90,12.0
2016-06-30,15.59,$2.06,7.57
2016-03-31,22.47,$1.94,11.58
2015-12-31,24.95,$1.97,12.66
2015-09-30,26.11,$1.61,16.22
2015-06-30,32.05,$1.66,19.31
2015-03-31,29.06,$0.93,31.25
