Essent Group PE Ratio Historical Data,Essent Group PE Ratio Historical Data,Essent Group PE Ratio Historical Data,Essent Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.9,,9.39
2024-06-30,55.95,$6.91,8.1
2024-03-31,59.25,$6.61,8.96
2023-12-31,52.25,$6.50,8.04
2023-09-30,46.61,$6.23,7.48
2023-06-30,45.9,$6.23,7.37
2023-03-31,39.06,$6.78,5.76
2022-12-31,37.69,$7.71,4.89
2022-09-30,33.61,$7.98,4.21
2022-06-30,37.29,$8.16,4.57
2022-03-31,39.31,$7.42,5.3
2021-12-31,43.22,$6.11,7.07
2021-09-30,41.58,$5.57,7.47
2021-06-30,42.31,$4.84,8.74
2021-03-31,44.54,$3.57,12.48
2020-12-31,40.37,$3.88,10.4
2020-09-30,34.46,$4.27,8.07
2020-06-30,33.62,$4.63,7.26
2020-03-31,24.3,$5.87,4.14
2019-12-31,47.77,$5.65,8.46
2019-09-30,43.68,$5.47,7.99
2019-06-30,42.92,$5.18,8.29
2019-03-31,39.69,$4.93,8.05
2018-12-31,31.22,$4.76,6.56
2018-09-30,40.42,$5.10,7.93
2018-06-30,32.72,$4.74,6.9
2018-03-31,38.88,$4.37,8.9
2017-12-31,39.66,$3.96,10.02
2017-09-30,37.0,$2.99,12.37
2017-06-30,33.93,$2.82,12.03
2017-03-31,33.04,$2.62,12.61
2016-12-31,29.57,$2.42,12.22
2016-09-30,24.31,$2.22,10.95
2016-06-30,19.92,$2.01,9.91
2016-03-31,19.0,$1.85,10.27
2015-12-31,20.0,$1.71,11.69
2015-09-30,22.7,$1.56,14.55
2015-06-30,24.98,$1.41,17.72
2015-03-31,21.84,$1.23,17.76
2014-12-31,23.49,$1.07,21.95
2014-09-30,19.56,$0.92,21.26
