XPEL PE Ratio Historical Data,XPEL PE Ratio Historical Data,XPEL PE Ratio Historical Data,XPEL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.65,,25.09
2024-06-30,35.56,$1.70,20.92
2024-03-31,54.02,$1.73,31.23
2023-12-31,53.85,$1.90,28.34
2023-09-30,77.11,$1.77,43.56
2023-06-30,84.22,$1.76,47.85
2023-03-31,67.95,$1.62,41.94
2022-12-31,60.06,$1.49,40.31
2022-09-30,64.44,$1.41,45.7
2022-06-30,45.93,$1.23,37.34
2022-03-31,52.61,$1.17,44.97
2021-12-31,68.28,$1.14,59.89
2021-09-30,75.86,$1.14,66.54
2021-06-30,83.87,$1.08,77.66
2021-03-31,51.93,$0.85,61.09
2020-12-31,51.56,$0.66,78.12
2020-09-30,26.08,$0.61,42.75
2020-06-30,15.64,$0.53,29.51
