H&E Equipment Services PE Ratio Historical Data,H&E Equipment Services PE Ratio Historical Data,H&E Equipment Services PE Ratio Historical Data,H&E Equipment Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.95,,11.7
2024-06-30,43.91,$4.44,9.89
2024-03-31,63.44,$4.67,13.58
2023-12-31,51.45,$4.67,11.02
2023-09-30,42.21,$4.61,9.16
2023-06-30,44.45,$4.31,10.31
2023-03-31,42.65,$3.89,10.96
2022-12-31,43.55,$3.63,12.0
2022-09-30,27.01,$3.67,7.36
2022-06-30,27.39,$3.43,7.99
2022-03-31,40.83,$3.14,13.0
2021-12-31,41.26,$2.80,14.74
2021-09-30,32.16,$0.95,33.85
2021-06-30,30.57,$0.42,72.78
2021-03-31,34.66,$0.23,150.7
2020-12-31,26.95,$-0.91,0.0
2020-09-30,17.6,$0.10,176.04
2020-06-30,16.33,$0.61,26.77
2020-03-31,12.77,$1.00,12.77
2019-12-31,28.74,$2.43,11.83
2019-09-30,24.61,$2.52,9.77
2019-06-30,24.53,$2.32,10.57
2019-03-31,20.95,$2.27,9.23
2018-12-31,16.87,$2.13,7.92
2018-09-30,30.82,$3.83,8.05
2018-06-30,30.43,$3.48,8.75
2018-03-31,30.91,$3.18,9.72
2017-12-31,32.41,$3.07,10.56
2017-09-30,23.1,$1.02,22.64
2017-06-30,15.96,$1.11,14.38
2017-03-31,18.92,$1.04,18.19
2016-12-31,17.73,$1.05,16.89
2016-09-30,12.59,$1.04,12.1
2016-06-30,14.05,$1.13,12.44
2016-03-31,12.76,$1.25,10.21
2015-12-31,12.44,$1.26,9.88
2015-09-30,11.73,$1.39,8.44
2015-06-30,13.77,$1.40,9.84
2015-03-31,17.06,$1.52,11.22
2014-12-31,18.96,$1.76,10.77
2014-09-30,27.0,$1.69,15.98
2014-06-30,24.21,$1.57,15.42
2013-12-31,19.74,$1.26,15.66
2013-09-30,17.69,$1.16,15.25
2013-06-30,14.04,$0.97,14.47
2013-03-31,13.59,$0.77,17.65
2012-12-31,10.04,$0.93,10.79
2014-03-31,26.94,$0.73,36.91
2012-09-30,8.07,$0.75,10.76
2012-06-30,6.53,$0.78,8.37
2012-03-31,8.22,$0.29,28.35
2011-12-31,5.83,$0.11,53.01
2011-09-30,3.58,$-0.23,0.0
2011-03-31,8.49,$-0.57,0.0
2010-12-31,5.03,$-0.73,0.0
2010-09-30,3.46,$-1.01,0.0
2010-06-30,3.25,$-0.82,0.0
2010-03-31,4.68,$-0.69,0.0
2009-12-31,4.56,$-0.33,0.0
2011-06-30,6.08,$0.08,75.99
