Tetra Tech PE Ratio Historical Data,Tetra Tech PE Ratio Historical Data,Tetra Tech PE Ratio Historical Data,Tetra Tech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.86,,45.16
2024-06-30,40.84,$1.08,37.75
2024-03-31,36.85,$0.99,37.29
2023-12-31,33.25,$0.86,38.48
2023-09-30,30.23,$0.89,33.82
2023-06-30,32.51,$0.91,35.65
2023-03-31,29.11,$0.88,32.93
2022-09-30,25.39,$0.97,26.07
2022-06-30,26.94,$0.97,27.83
2022-03-31,32.48,$1.19,27.38
2021-12-31,33.39,$1.18,28.29
2021-09-30,29.33,$1.10,26.76
2022-12-31,28.73,$0.98,29.19
2021-06-30,23.93,$0.71,33.62
2021-03-31,26.57,$0.69,38.63
2020-12-31,22.64,$0.65,34.62
2020-09-30,18.65,$0.63,29.51
2020-06-30,15.42,$0.51,30.24
2020-03-31,13.73,$0.52,26.41
2019-12-31,16.73,$0.59,28.45
2019-09-30,16.81,$0.57,29.6
2019-06-30,15.2,$0.63,24.2
2019-03-31,11.5,$0.57,20.18
2018-12-31,9.97,$0.47,21.12
2018-09-30,13.15,$0.48,27.18
2018-06-30,11.25,$0.50,22.41
2018-03-31,9.39,$0.48,19.73
2017-12-31,9.22,$0.47,19.78
2017-09-30,8.89,$0.41,21.69
2017-03-31,7.77,$0.38,20.55
2016-12-31,8.19,$0.30,27.48
2016-09-30,6.72,$0.10,67.16
2016-06-30,5.81,$0.08,72.58
2016-03-31,5.61,$0.05,103.97
2015-09-30,4.55,$0.12,36.69
2015-06-30,4.78,$0.30,15.95
2015-03-31,4.47,$0.32,14.05
2014-12-31,4.95,$0.34,14.65
2014-09-30,4.62,$0.35,13.13
2017-06-30,8.72,$0.37,23.82
2014-06-30,5.07,$0.34,14.92
2014-03-31,5.45,$0.02,340.33
2013-12-31,5.15,$-0.00,0.0
2013-09-30,4.76,$-0.01,0.0
2013-06-30,4.33,$-0.01,0.0
2015-12-31,4.88,$0.33,14.8
2013-03-31,5.61,$0.34,16.41
2012-12-31,4.87,$0.34,14.5
2012-09-30,4.83,$0.33,14.82
2012-06-30,4.8,$0.32,15.19
2012-03-31,4.85,$0.30,16.06
2011-12-31,3.97,$0.29,13.8
2011-09-30,3.45,$0.29,11.97
2011-06-30,4.14,$0.28,14.89
2011-03-31,4.54,$0.27,16.95
2010-12-31,4.61,$0.26,17.87
2010-09-30,3.86,$0.25,15.69
2010-06-30,3.61,$0.24,15.16
2010-03-31,4.24,$0.27,15.47
2009-12-31,5.0,$0.29,17.12
