Middleby PE Ratio Historical Data,Middleby PE Ratio Historical Data,Middleby PE Ratio Historical Data,Middleby PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,139.59,,19.52
2024-06-30,122.61,$7.15,17.15
2024-03-31,160.79,$7.18,22.39
2023-12-31,147.17,$7.41,19.86
2023-09-30,128.0,$8.44,15.17
2023-06-30,147.83,$8.35,17.7
2023-03-31,146.61,$8.26,17.75
2022-12-31,133.9,$7.96,16.82
2022-09-30,128.17,$7.31,17.53
2022-06-30,125.36,$8.48,14.78
2022-03-31,163.94,$8.54,19.2
2021-12-31,196.76,$8.61,22.85
2021-09-30,170.51,$7.75,22.0
2021-06-30,173.26,$5.76,30.08
2021-03-31,165.75,$4.02,41.23
2020-12-31,128.92,$3.76,34.29
2020-09-30,89.71,$4.78,18.77
2020-06-30,78.94,$5.15,15.33
2020-03-31,56.88,$6.42,8.86
2019-12-31,109.52,$6.33,17.3
2019-09-30,116.9,$6.07,19.26
2019-06-30,135.7,$5.91,22.96
2019-03-31,130.03,$5.76,22.57
2018-12-31,102.73,$5.70,18.02
2018-09-30,129.35,$5.35,24.18
2018-06-30,104.42,$5.35,19.52
2018-03-31,123.79,$5.19,23.85
2017-12-31,134.95,$5.25,25.7
2017-09-30,128.17,$5.31,24.14
2017-06-30,121.51,$5.33,22.8
2017-03-31,136.45,$5.26,25.94
2016-12-31,128.81,$4.98,25.87
2016-09-30,123.62,$4.45,27.78
2016-06-30,115.25,$3.98,28.96
2016-03-31,106.77,$3.65,29.25
2015-12-31,107.87,$3.36,32.1
2015-09-30,105.19,$3.39,31.03
2015-06-30,112.23,$3.58,31.35
2015-03-31,102.65,$3.48,29.5
2014-12-31,99.1,$3.40,29.12
2014-09-30,88.13,$3.37,26.18
2014-06-30,82.72,$3.04,27.18
2014-03-31,88.07,$2.86,30.79
2013-12-31,79.91,$2.73,29.27
2013-09-30,69.64,$2.53,27.49
2013-06-30,56.7,$2.34,24.23
2013-03-31,50.72,$2.23,22.74
2012-12-31,42.74,$2.17,19.72
2012-09-30,38.55,$2.11,18.24
2012-06-30,33.2,$2.00,16.6
2012-03-31,33.73,$1.80,18.77
2011-12-31,31.35,$1.72,18.23
2011-09-30,23.49,$1.47,15.94
2011-06-30,31.35,$1.43,21.92
2011-03-31,31.04,$1.40,22.22
2010-12-31,28.14,$1.32,21.32
2010-09-30,21.13,$1.26,16.77
2010-06-30,17.73,$1.16,15.28
2010-03-31,19.2,$1.09,17.66
2009-12-31,16.34,$1.10,14.9
