Hercules Capital PE Ratio Historical Data,Hercules Capital PE Ratio Historical Data,Hercules Capital PE Ratio Historical Data,Hercules Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.14,,11.25
2024-06-30,19.92,$1.79,11.13
2024-03-31,17.53,$2.20,7.97
2023-12-31,15.43,$2.31,6.68
2023-09-30,14.75,$2.00,7.37
2023-06-30,12.91,$2.22,5.82
2023-03-31,10.86,$1.47,7.39
2022-12-31,10.81,$0.76,14.22
2022-09-30,9.14,$0.32,28.55
2022-06-30,10.3,$0.11,93.67
2022-03-31,13.38,$0.85,15.74
2021-12-31,11.94,$1.43,8.35
2021-09-30,11.69,$2.71,4.31
2021-06-30,11.74,$2.89,4.06
2021-03-31,10.78,$2.79,3.86
2020-12-31,9.47,$1.97,4.81
2020-09-30,7.38,$1.08,6.83
2020-06-30,6.5,$0.88,7.38
2020-03-31,4.59,$0.82,5.6
2019-12-31,8.18,$1.73,4.73
2019-09-30,7.61,$1.13,6.73
2019-06-30,7.11,$1.32,5.39
2019-03-31,6.85,$1.42,4.82
2018-12-31,5.84,$0.85,6.88
2018-09-30,6.78,$1.25,5.42
2018-06-30,6.37,$1.28,4.98
2018-03-31,5.95,$1.09,5.45
2017-12-31,6.28,$0.95,6.61
2017-09-30,6.04,$0.91,6.64
2017-06-30,6.05,$0.92,6.58
2017-03-31,6.75,$0.65,10.39
2016-12-31,6.17,$0.92,6.7
2016-09-30,5.79,$0.94,6.16
2016-06-30,5.19,$0.58,8.94
2016-03-31,4.89,$0.48,10.18
2015-12-31,4.83,$0.61,7.92
2015-09-30,3.89,$0.73,5.34
2015-06-30,4.34,$0.91,4.76
2015-03-31,4.94,$1.08,4.57
2014-12-31,5.33,$1.10,4.85
2014-09-30,5.08,$1.17,4.34
2014-06-30,5.57,$1.53,3.64
2014-03-31,4.74,$1.67,2.84
2013-12-31,5.42,$1.62,3.34
2013-09-30,4.95,$1.70,2.91
2013-06-30,4.44,$1.20,3.7
2013-03-31,3.82,$1.11,3.44
2012-12-31,3.4,$1.05,3.24
2012-09-30,3.29,$0.83,3.96
2012-06-30,3.31,$0.88,3.77
2012-03-31,3.17,$0.87,3.64
2011-12-31,2.64,$0.60,4.41
2011-09-30,2.33,$0.65,3.58
2011-06-30,2.81,$0.28,10.02
2011-03-31,2.87,$0.23,12.49
2010-12-31,2.65,$0.42,6.32
2010-09-30,2.54,$0.38,6.69
2010-06-30,2.27,$0.90,2.52
2010-03-31,2.56,$0.33,7.75
2009-12-31,2.46,$0.52,4.72
