Jefferies Financial Group PE Ratio Historical Data,Jefferies Financial Group PE Ratio Historical Data,Jefferies Financial Group PE Ratio Historical Data,Jefferies Financial Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.26,,28.74
2024-08-31,59.95,$2.34,25.62
2024-05-31,46.24,$1.81,25.55
2024-02-29,41.31,$1.22,33.86
2023-11-30,34.75,$1.10,31.59
2023-08-31,34.69,$1.38,25.14
2023-05-31,28.98,$1.94,14.94
2023-02-28,36.05,$2.34,15.41
2022-11-30,35.97,$3.03,11.87
2022-08-31,30.13,$3.66,8.23
2022-05-31,30.74,$4.38,7.02
2022-02-28,32.77,$5.23,6.27
2021-11-30,34.37,$6.13,5.61
2021-08-31,33.61,$6.04,5.56
2021-05-31,29.01,$5.61,5.17
2021-02-28,26.06,$4.47,5.83
2020-11-30,20.26,$2.71,7.47
2020-08-31,15.53,$2.22,7.0
2020-05-31,12.86,$1.30,9.89
2020-02-29,17.1,$3.28,5.21
2019-11-30,18.02,$3.05,5.91
2019-08-31,14.94,$2.43,6.15
2019-05-31,14.07,$2.28,6.17
2019-02-28,16.03,$0.14,114.5
2018-11-30,17.17,$2.03,8.46
2018-09-30,17.16,$2.03,8.45
2018-06-30,17.68,$2.03,8.71
2018-05-31,16.93,$1.29,13.12
2018-03-31,17.59,$-0.74,0.0
2017-12-31,20.41,$-0.74,0.0
2017-11-30,20.2,$-0.74,0.0
2017-09-30,19.39,0,0.0
2017-06-30,20.08,0,0.0
2017-03-31,19.91,0,0.0
2016-12-31,17.76,0,0.0
2016-09-30,14.51,0,0.0
2016-06-30,13.16,0,0.0
2016-03-31,12.24,0,0.0
2015-12-31,13.11,$0.34,38.55
2015-09-30,15.22,$0.34,44.75
2015-06-30,18.18,$0.34,53.48
2018-02-28,18.49,$0.34,54.38
2014-12-31,16.7,0,0.0
2014-09-30,17.71,0,0.0
2014-06-30,19.43,0,0.0
2014-03-31,20.7,0,0.0
2013-12-31,20.9,0,0.0
2015-03-31,16.65,0,0.0
2013-09-30,20.05,0,0.0
2013-06-30,19.25,0,0.0
2013-03-31,20.1,0,0.0
2012-12-31,16.93,0,0.0
2012-09-30,16.01,0,0.0
2012-06-30,14.97,0,0.0
2012-03-31,18.37,0,0.0
2011-12-31,16.01,0,0.0
2011-09-30,15.78,0,0.0
2011-06-30,23.73,0,0.0
2011-03-31,26.13,0,0.0
2010-12-31,20.31,0,0.0
2010-09-30,16.29,0,0.0
2010-06-30,13.46,0,0.0
2010-03-31,17.11,0,0.0
2009-12-31,16.41,0,0.0
