Greif Bros PE Ratio Historical Data,Greif Bros PE Ratio Historical Data,Greif Bros PE Ratio Historical Data,Greif Bros PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,70.33,,11.8
2024-07-31,70.67,$5.96,11.86
2024-01-31,62.7,$6.36,9.86
2023-10-31,64.06,$6.15,10.42
2023-07-31,79.07,$6.66,11.87
2023-04-30,78.74,$7.47,10.54
2023-01-31,82.4,$7.66,10.76
2022-10-31,70.81,$6.30,11.24
2022-07-31,69.82,$6.37,10.96
2022-04-30,58.36,$4.78,12.21
2022-01-31,59.4,$4.58,12.97
2021-10-31,65.26,$6.91,9.44
2024-04-30,62.48,$5.57,11.22
2021-07-31,60.88,$5.54,10.99
2021-04-30,59.14,$4.00,14.79
2021-01-31,44.7,$1.68,26.61
2020-10-31,41.76,$1.83,22.82
2020-07-31,37.35,$2.18,17.13
2020-04-30,37.15,$2.89,12.86
2020-01-31,43.56,$2.93,14.87
2019-10-31,42.69,$2.89,14.77
2019-07-31,38.48,$2.47,15.58
2019-04-30,42.86,$3.13,13.69
2019-01-31,39.2,$3.67,10.68
2018-10-31,43.94,$4.12,10.67
2018-07-31,48.95,$4.02,12.18
2018-04-30,52.68,$3.04,17.33
2018-01-31,52.71,$2.88,18.3
2017-10-31,51.58,$2.02,25.53
2017-07-31,48.66,$1.59,30.6
2017-04-30,54.14,$1.63,33.22
2017-01-31,56.64,$1.55,36.54
2016-10-31,45.94,$1.66,27.68
2016-07-31,41.34,$1.67,24.75
2016-04-30,35.56,$1.24,28.67
2015-10-31,28.88,$1.23,23.48
2015-07-31,28.22,$1.17,24.12
2015-04-30,34.88,$1.23,28.36
2015-01-31,31.52,$1.49,21.15
2014-10-31,35.66,$1.48,24.09
2014-07-31,37.62,$1.96,19.19
2014-04-30,40.84,$2.55,16.01
2014-01-31,38.11,$2.64,14.44
2013-10-31,38.58,$1.94,19.89
2013-07-31,38.35,$1.74,22.04
2013-04-30,34.35,$1.39,24.71
2016-01-31,27.73,$1.39,19.95
2013-01-31,33.02,$2.53,13.05
2012-10-31,29.33,$2.51,11.69
2012-07-31,31.99,$2.59,12.35
2012-04-30,34.61,$3.50,9.89
2012-01-31,30.85,$3.86,7.99
2011-10-31,28.02,$4.51,6.21
2011-07-31,35.37,$5.95,5.94
2011-04-30,34.92,$6.04,5.78
2011-01-31,35.88,$4.73,7.59
2010-10-31,34.08,$3.67,9.29
2010-07-31,33.33,$3.75,8.89
2010-04-30,32.76,$3.08,10.64
2010-01-31,27.62,$3.39,8.15
2009-10-31,27.08,$3.42,7.92
