Evergy PE Ratio Historical Data,Evergy PE Ratio Historical Data,Evergy PE Ratio Historical Data,Evergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,59.14,,18.42
2024-06-30,52.39,$3.21,16.32
2024-03-31,52.19,$3.09,16.89
2023-12-31,50.4,$3.18,15.85
2023-09-30,48.34,$2.96,16.33
2023-06-30,55.1,$3.29,16.75
2023-03-31,57.05,$3.35,17.03
2022-12-31,58.14,$3.26,17.83
2022-09-30,54.31,$3.46,15.7
2022-06-30,59.18,$3.55,16.67
2022-03-31,61.45,$3.52,17.46
2021-12-31,61.15,$3.21,19.05
2021-09-30,54.95,$4.58,12.0
2021-06-30,52.97,$3.22,16.45
2020-12-31,47.78,$2.72,17.57
2020-09-30,43.31,$2.78,15.58
2020-06-30,50.04,$2.02,24.77
2020-03-31,46.06,$2.99,15.4
2019-12-31,54.07,$3.25,16.64
2021-03-31,51.74,$3.36,15.4
2019-09-30,54.85,$2.59,21.18
2019-06-30,49.21,$2.35,20.94
2019-03-31,47.11,$2.34,20.13
2018-12-31,45.67,$2.37,19.27
2018-09-30,43.83,$2.54,17.26
2018-06-30,44.45,$2.33,19.08
2018-03-31,41.64,$2.27,18.34
2017-12-31,41.8,$2.27,18.41
2017-09-30,39.27,$2.41,16.29
2017-06-30,41.98,$2.38,17.64
2017-03-31,42.97,$2.39,17.98
2016-12-31,44.61,$2.43,18.36
2016-09-30,44.93,$2.33,19.28
2016-06-30,44.41,$2.22,20.0
2016-03-31,39.28,$2.17,18.1
2015-12-31,33.58,$2.09,16.07
2015-09-30,30.43,$2.14,14.22
2015-06-30,27.09,$2.27,11.93
2015-03-31,30.69,$2.21,13.89
2014-12-31,32.65,$2.35,13.89
2014-09-30,27.01,$2.34,11.54
2014-06-30,30.24,$2.28,13.26
2014-03-31,27.84,$2.40,11.6
2013-12-31,25.47,$2.28,11.17
2013-09-30,24.01,$2.32,10.35
2013-06-30,24.75,$2.38,10.4
2013-03-31,25.42,$2.34,10.86
2012-12-31,21.46,$2.15,9.98
2012-09-30,21.99,$1.95,11.28
2012-06-30,21.96,$2.00,10.98
2012-03-31,20.25,$1.52,13.32
2011-12-31,20.37,$1.58,12.89
2011-09-30,18.48,$1.46,12.66
2011-06-30,18.6,$1.33,13.98
2011-03-31,18.04,$1.80,10.02
2010-12-31,16.97,$1.80,9.43
2010-09-30,16.14,$1.86,8.68
2010-06-30,14.21,$1.58,8.99
2010-03-31,14.26,$1.46,9.77
2009-12-31,13.69,$1.59,8.61
