Veris Residential PE Ratio Historical Data,Veris Residential PE Ratio Historical Data,Veris Residential PE Ratio Historical Data,Veris Residential PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.39,,0.0
2024-06-30,14.88,$-0.67,0.0
2024-03-31,15.04,$-1.00,0.0
2023-12-31,15.55,$-1.23,0.0
2023-09-30,16.26,$-0.82,0.0
2023-06-30,15.77,$-1.32,0.0
2023-03-31,14.38,$-0.77,0.0
2022-12-31,15.65,$-0.63,0.0
2022-09-30,11.17,$-1.30,0.0
2022-06-30,13.01,$-0.53,0.0
2022-03-31,17.08,$-1.59,0.0
2021-12-31,18.06,$-1.40,0.0
2021-09-30,16.82,$-0.41,0.0
2021-06-30,16.85,$-0.57,0.0
2021-03-31,15.21,$-0.17,0.0
2020-12-31,12.24,$-0.70,0.0
2020-09-30,12.4,$-2.01,0.0
2020-06-30,14.82,$-2.17,0.0
2020-03-31,14.56,$-2.19,0.0
2019-12-31,21.91,$0.94,23.31
2019-09-30,20.33,$2.03,10.01
2019-06-30,21.67,$2.63,8.24
2019-03-31,20.47,$3.01,6.8
2018-12-31,17.88,$0.80,22.35
2018-09-30,19.22,$0.38,50.57
2018-06-30,18.15,$0.82,22.13
2018-03-31,14.77,$0.43,34.35
2017-12-31,18.89,$0.09,209.84
2017-09-30,20.59,$0.23,89.54
2017-06-30,23.4,$-0.26,0.0
2017-03-31,23.1,$0.72,32.09
2016-12-31,24.76,$1.30,19.04
2016-09-30,23.09,$0.78,29.6
2016-06-30,22.78,$-0.54,0.0
2016-03-31,19.7,$-0.68,0.0
2015-12-31,19.44,$-1.40,0.0
2015-09-30,15.6,$-1.15,0.0
2015-06-30,15.11,$0.29,52.09
2015-03-31,15.68,$0.47,33.36
2014-12-31,15.38,$0.35,43.94
2014-09-30,15.3,$-0.17,0.0
2014-06-30,17.08,$-0.14,0.0
2014-03-31,16.29,$-0.46,0.0
2013-12-31,16.6,$-0.18,0.0
2013-09-30,16.73,$0.33,50.68
2013-06-30,18.44,$0.44,41.91
2013-03-31,21.21,$0.29,73.13
2012-12-31,19.02,$0.42,45.3
2012-09-30,19.05,$0.71,26.83
2012-06-30,20.5,$0.79,25.95
2012-03-31,20.01,$0.88,22.73
2011-12-31,18.22,$0.81,22.49
2011-09-30,17.93,$0.72,24.91
2011-06-30,21.79,$0.62,35.14
2011-03-31,22.12,$0.66,33.52
2010-12-31,21.29,$0.65,32.75
2010-09-30,20.77,$0.57,36.44
2010-06-30,18.59,$0.67,27.75
2010-03-31,21.76,$0.66,32.97
2009-12-31,21.06,$0.66,31.91
