Badger Meter PE Ratio Historical Data,Badger Meter PE Ratio Historical Data,Badger Meter PE Ratio Historical Data,Badger Meter PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,205.95,,69.81
2024-09-30,218.41,$2.95,74.04
2024-06-30,186.04,$3.83,48.57
2024-03-31,161.32,$3.47,46.49
2023-12-31,153.64,$3.14,48.93
2023-09-30,142.93,$2.90,49.29
2023-06-30,146.35,$2.63,55.65
2023-03-31,120.62,$2.44,49.44
2022-12-31,107.75,$2.27,47.47
2022-09-30,91.13,$2.26,40.32
2022-06-30,79.61,$2.19,36.35
2022-03-31,97.88,$2.10,46.61
2021-12-31,104.39,$2.08,50.19
2021-09-30,98.89,$1.94,50.98
2021-06-30,95.76,$1.91,50.14
2021-03-31,90.66,$1.76,51.51
2020-12-31,91.47,$1.71,53.49
2020-09-30,63.43,$1.70,37.31
2020-06-30,60.88,$1.58,38.53
2019-12-31,62.48,$1.62,38.57
2019-09-30,51.54,$1.59,32.41
2019-06-30,57.1,$1.25,45.68
2019-03-31,53.07,$1.07,49.6
2018-12-31,46.82,$0.96,48.77
2018-09-30,50.38,$0.82,61.44
2018-06-30,42.41,$0.99,42.84
2018-03-31,44.61,$1.14,39.13
2017-12-31,45.1,$1.29,34.96
2017-09-30,46.1,$1.25,36.88
2017-06-30,37.38,$1.28,29.21
2020-03-31,51.72,$1.25,41.54
2016-12-31,34.45,$1.11,31.04
2016-09-30,31.15,$1.09,28.58
2016-06-30,33.88,$1.09,31.08
2016-03-31,30.82,$1.06,29.21
2015-12-31,27.06,$1.06,25.65
2017-03-31,34.38,$1.01,34.03
2015-09-30,26.73,$0.92,29.06
2015-06-30,29.13,$0.99,29.58
2015-03-31,27.42,$0.93,29.49
2014-12-31,27.06,$1.10,24.6
2014-09-30,22.93,$1.11,20.66
2013-12-31,24.51,$0.86,28.66
2013-09-30,20.84,$0.83,25.11
2013-06-30,19.89,$0.82,24.25
2013-03-31,23.8,$0.91,26.15
2012-12-31,21.01,$1.07,19.64
2014-06-30,23.84,$1.09,21.97
2012-09-30,16.07,$0.82,19.59
2012-06-30,16.5,$0.74,22.29
2012-03-31,14.87,$0.64,23.23
2011-12-31,12.81,$0.69,18.57
2011-09-30,12.53,$0.76,16.48
2014-03-31,24.86,$0.74,33.59
2011-06-30,15.94,$0.88,18.12
2011-03-31,17.69,$0.89,19.99
2010-12-31,18.92,$0.96,19.81
2010-09-30,17.26,$0.92,18.87
2010-06-30,16.44,$1.10,15.01
2010-03-31,16.31,$1.09,14.96
2009-12-31,16.81,$1.15,14.68
