"Grifols, S.A PE Ratio Historical Data","Grifols, S.A PE Ratio Historical Data","Grifols, S.A PE Ratio Historical Data","Grifols, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.59,,34.36
2024-06-30,6.31,$0.25,25.22
2023-09-30,9.14,$0.47,19.45
2023-06-30,9.16,$0.75,12.21
2022-06-30,11.88,$0.97,12.25
2021-06-30,17.35,$1.06,16.37
2019-06-30,20.09,$1.03,19.51
2018-06-30,19.93,$0.98,20.33
2017-06-30,19.18,$0.67,28.62
2017-03-31,17.0,$0.67,25.37
2016-12-31,14.47,$0.70,20.68
2023-03-31,7.37,$0.67,11.0
2016-09-30,14.2,$0.67,21.19
2016-06-30,14.82,$0.67,22.12
2016-03-31,13.62,$0.65,21.12
2015-12-31,14.26,$0.66,21.61
2015-09-30,13.23,$0.88,15.12
2015-06-30,13.48,$0.87,15.58
2015-03-31,14.12,$0.85,16.61
2014-12-31,14.63,$0.88,16.62
2014-09-30,14.98,$0.81,18.5
2014-06-30,18.79,$0.76,24.89
2014-03-31,17.5,$0.74,23.81
2013-12-31,15.3,$0.67,22.84
2013-09-30,12.83,$0.64,19.92
2013-06-30,12.07,$0.60,20.02
2013-03-31,12.17,$0.56,21.88
2012-09-30,9.12,$0.39,23.65
2012-06-30,7.67,$0.32,23.7
2012-03-31,6.16,$0.29,20.89
