Clover Health Investments PE Ratio Historical Data,Clover Health Investments PE Ratio Historical Data,Clover Health Investments PE Ratio Historical Data,Clover Health Investments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.18,,0.0
2024-06-30,1.23,$-0.27,0.0
2024-03-31,0.79,$-0.34,0.0
2023-12-31,0.95,$-0.45,0.0
2023-09-30,1.08,$-0.48,0.0
2023-06-30,0.9,$-0.55,0.0
2023-03-31,0.85,$-0.71,0.0
2022-12-31,0.93,$-0.72,0.0
2022-09-30,1.7,$-0.98,0.0
2022-06-30,2.14,$-0.90,0.0
2022-03-31,3.55,$-1.46,0.0
2021-12-31,3.72,$-1.43,0.0
2021-09-30,7.39,$-0.99,0.0
2021-06-30,13.32,$-0.91,0.0
2021-03-31,7.56,$-0.13,0.0
