Plymouth Industrial REIT PE Ratio Historical Data,Plymouth Industrial REIT PE Ratio Historical Data,Plymouth Industrial REIT PE Ratio Historical Data,Plymouth Industrial REIT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.71,,40.2
2024-06-30,21.16,$0.54,39.18
2024-03-31,22.02,$0.43,51.2
2023-12-31,23.3,$0.18,129.44
2023-09-30,20.09,$-0.21,0.0
2023-06-30,21.85,$-0.55,0.0
2022-12-31,17.83,$-0.68,0.0
2022-09-30,15.45,$-0.80,0.0
2022-06-30,15.9,$-0.71,0.0
2022-03-31,24.26,$-0.76,0.0
2021-12-31,28.42,$-0.80,0.0
2023-03-31,19.75,$-0.81,0.0
2021-09-30,20.07,$-0.95,0.0
2021-06-30,17.5,$-1.09,0.0
2021-03-31,14.57,$-1.33,0.0
2020-12-31,12.82,$-1.62,0.0
2020-09-30,10.41,$-1.82,0.0
2020-06-30,10.62,$-2.14,0.0
2020-03-31,9.11,$-2.53,0.0
2019-12-31,14.53,$-3.37,0.0
2019-09-30,14.18,$-4.03,0.0
2019-06-30,14.36,$-4.57,0.0
2019-03-31,12.51,$-5.96,0.0
2018-12-31,9.17,$-5.97,0.0
2018-09-30,10.93,$-6.31,0.0
2018-06-30,11.02,$-7.70,0.0
2018-03-31,11.57,$-6.69,0.0
