StoneX Group PE Ratio Historical Data,StoneX Group PE Ratio Historical Data,StoneX Group PE Ratio Historical Data,StoneX Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,88.18,,12.22
2024-06-30,75.31,$7.21,10.44
2024-03-31,70.26,$7.50,9.37
2023-12-31,73.83,$7.17,10.3
2023-09-30,96.92,$7.45,13.0
2023-06-30,83.08,$7.54,11.02
2023-03-31,103.53,$6.95,14.89
2022-12-31,95.3,$7.73,12.33
2022-09-30,82.94,$6.67,12.43
2022-06-30,78.07,$5.25,14.86
2022-03-31,74.23,$4.79,15.51
2021-12-31,61.25,$4.53,13.51
2021-09-30,65.9,$3.83,17.22
2021-06-30,60.67,$6.19,9.81
2021-03-31,65.38,$6.32,10.34
2020-12-31,57.9,$5.83,9.93
