Lam Research PE Ratio Historical Data,Lam Research PE Ratio Historical Data,Lam Research PE Ratio Historical Data,Lam Research PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,821.01,,28.31
2024-06-30,1064.85,$29.00,36.72
2024-03-31,969.79,$27.19,35.67
2023-12-31,780.18,$25.86,30.17
2023-09-30,622.61,$29.41,21.17
2023-06-30,636.64,$33.14,19.21
2023-03-31,523.55,$35.91,14.58
2022-12-31,413.64,$37.20,11.12
2022-09-30,358.9,$34.87,10.29
2022-06-30,416.18,$32.75,12.71
2022-03-31,523.29,$31.99,16.36
2021-12-31,697.83,$32.10,21.74
2021-09-30,551.06,$29.62,18.6
2021-06-30,628.49,$26.94,23.33
2021-03-31,573.76,$23.69,24.22
2020-12-31,454.15,$20.16,22.53
2020-09-30,318.21,$17.63,18.05
2020-06-30,309.07,$15.55,19.88
2020-03-31,228.46,$14.29,15.99
2019-12-31,276.96,$13.92,19.9
2019-06-30,176.29,$13.72,12.85
2019-03-31,167.03,$16.03,10.42
2018-12-31,126.29,$15.65,8.07
2018-09-30,139.66,$16.47,8.48
2018-06-30,158.02,$13.18,11.99
2019-09-30,217.98,$10.57,20.62
2018-03-31,184.72,$10.30,17.93
2017-12-31,166.96,$9.07,18.41
2017-09-30,167.38,$10.94,15.3
2017-06-30,127.59,$9.20,13.87
2017-03-31,115.48,$7.84,14.73
2016-12-31,94.76,$5.56,17.04
2016-09-30,84.52,$5.03,16.8
2016-06-30,74.77,$5.22,14.32
2016-03-31,73.21,$4.50,16.27
2015-12-31,70.11,$4.84,14.49
2015-09-30,57.45,$4.56,12.6
2015-06-30,71.23,$3.70,19.25
2015-03-31,61.27,$4.31,14.22
2014-12-31,69.06,$4.11,16.8
2014-09-30,64.88,$3.98,16.3
2014-06-30,58.55,$3.68,15.91
2014-03-31,47.52,$2.83,16.79
2013-12-31,47.05,$1.98,23.76
2013-09-30,44.24,$1.15,38.47
2013-06-30,38.31,$0.78,49.12
2013-03-31,35.82,$0.66,54.28
2012-12-31,31.22,$0.82,38.07
2012-06-30,32.61,$1.36,23.98
2012-03-31,38.55,$2.24,17.21
2011-12-31,31.99,$1.88,17.01
2011-09-30,32.82,$3.06,10.72
2011-06-30,38.26,$4.26,8.98
2012-09-30,27.46,$4.80,5.72
2011-03-31,48.96,$5.88,8.33
2010-12-31,44.74,$5.37,8.33
2010-09-30,36.16,$4.13,8.76
2010-06-30,32.88,$2.71,12.13
2010-03-31,32.25,$0.91,35.43
2009-12-31,33.88,$-1.61,0.0
