Harmonic PE Ratio Historical Data,Harmonic PE Ratio Historical Data,Harmonic PE Ratio Historical Data,Harmonic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.43,,30.06
2024-06-30,11.77,$0.48,24.52
2024-03-31,13.44,$0.60,22.4
2023-12-31,13.04,$0.71,18.37
2023-09-30,9.63,$0.04,240.75
2023-06-30,16.17,$0.18,89.83
2023-03-31,14.59,$0.31,47.06
2022-12-31,13.1,$0.26,50.38
2022-09-30,13.07,$0.39,33.51
2022-06-30,8.67,$0.32,27.09
2022-03-31,9.29,$0.16,58.06
2021-12-31,11.76,$0.11,106.91
2021-09-30,8.75,$0.06,145.83
2021-06-30,8.52,$-0.01,0.0
2021-03-31,7.84,$-0.15,0.0
2020-12-31,7.39,$-0.32,0.0
2020-09-30,5.58,$-0.39,0.0
2020-06-30,4.75,$-0.21,0.0
2020-03-31,5.76,$-0.18,0.0
2019-12-31,7.8,$-0.08,0.0
2019-09-30,6.58,$-0.10,0.0
2019-06-30,5.55,$-0.31,0.0
2019-03-31,5.42,$-0.21,0.0
2018-12-31,4.72,$-0.24,0.0
2018-09-30,5.5,$-0.42,0.0
2018-06-30,4.25,$-0.52,0.0
2018-03-31,3.8,$-0.88,0.0
2017-12-31,4.2,$-1.02,0.0
2017-09-30,3.05,$-1.01,0.0
2017-06-30,5.25,$-1.03,0.0
2017-03-31,5.95,$-0.91,0.0
2016-12-31,5.0,$-0.94,0.0
2016-09-30,5.93,$-0.89,0.0
2016-06-30,2.85,$-0.73,0.0
2016-03-31,3.27,$-0.47,0.0
2015-12-31,4.07,$-0.17,0.0
2015-09-30,5.81,$-0.15,0.0
2015-06-30,6.83,$-0.09,0.0
2015-03-31,7.41,$-0.47,0.0
2014-12-31,7.01,$-0.50,0.0
2014-09-30,6.34,$-0.46,0.0
2014-06-30,7.46,$-0.11,0.0
2014-03-31,7.14,$0.25,28.56
2013-12-31,7.38,$0.37,19.95
2013-09-30,7.68,$0.43,17.86
2013-06-30,6.35,$-0.00,0.0
2013-03-31,5.79,$0.03,193.0
2012-12-31,5.07,$-0.09,0.0
2012-09-30,4.54,$-0.09,0.0
2012-06-30,4.26,$0.01,426.0
2012-03-31,5.47,$0.01,547.0
2011-12-31,5.04,$0.07,72.0
2011-09-30,4.26,$-0.09,0.0
2011-06-30,7.23,$-0.12,0.0
2011-03-31,9.38,$-0.07,0.0
2010-12-31,8.57,$-0.01,0.0
2010-09-30,6.88,$0.11,62.55
2010-06-30,5.44,$0.14,38.86
2010-03-31,6.31,$0.01,0.0
2009-12-31,6.32,$-0.25,0.0
