McGrath RentCorp PE Ratio Historical Data,McGrath RentCorp PE Ratio Historical Data,McGrath RentCorp PE Ratio Historical Data,McGrath RentCorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,107.81,,22.84
2024-06-30,105.63,$4.72,22.38
2024-03-31,121.79,$5.13,23.74
2023-12-31,117.59,$7.12,16.52
2023-09-30,98.1,$7.44,13.18
2023-06-30,90.05,$7.04,12.79
2023-03-31,90.39,$6.86,13.18
2022-12-31,95.22,$4.71,20.22
2022-09-30,80.43,$4.25,18.93
2022-06-30,72.46,$3.95,18.34
2022-03-31,80.58,$3.72,21.66
2021-12-31,75.69,$3.66,20.68
2021-09-30,67.47,$3.77,17.9
2021-06-30,76.06,$3.97,19.16
2021-03-31,74.8,$4.05,18.47
2020-12-31,61.88,$4.15,14.91
2020-09-30,54.6,$3.95,13.82
2020-06-30,49.11,$4.12,11.92
2020-03-31,47.25,$3.99,11.84
2019-12-31,68.72,$3.93,17.49
2019-09-30,62.13,$3.85,16.14
2019-06-30,55.17,$3.54,15.59
2019-03-31,49.9,$3.40,14.68
2018-12-31,45.1,$3.24,13.92
2018-09-30,47.41,$7.07,6.71
2018-06-30,54.76,$6.75,8.11
2018-03-31,46.18,$6.58,7.02
2017-12-31,40.2,$6.32,6.36
2017-09-30,37.22,$1.90,19.59
2017-06-30,29.24,$1.75,16.71
2017-03-31,28.13,$1.65,17.05
2016-12-31,32.62,$1.59,20.51
2016-09-30,26.17,$1.67,15.67
2016-06-30,25.05,$1.67,15.0
2016-03-31,20.34,$1.61,12.63
2015-12-31,20.21,$1.60,12.63
2015-09-30,21.22,$1.65,12.86
2015-06-30,23.98,$1.64,14.62
2015-03-31,25.75,$1.71,15.06
2014-12-31,27.85,$1.75,15.91
2014-09-30,26.38,$1.67,15.79
2014-06-30,28.16,$1.62,17.38
2014-03-31,26.59,$1.61,16.51
2013-12-31,30.08,$1.67,18.01
2013-09-30,26.79,$1.69,15.85
2013-06-30,25.46,$1.71,14.89
2013-03-31,22.99,$1.75,13.14
2012-12-31,21.34,$1.78,11.99
2012-09-30,18.96,$1.84,10.3
2012-06-30,19.09,$1.96,9.74
2012-03-31,22.95,$2.00,11.48
2011-12-31,20.56,$2.00,10.28
2011-09-30,16.72,$1.99,8.4
2011-06-30,19.58,$1.77,11.06
2011-03-31,18.85,$1.62,11.63
2010-12-31,17.97,$1.51,11.9
2010-09-30,16.27,$1.36,11.97
2010-06-30,15.32,$1.36,11.27
2010-03-31,16.16,$1.35,11.97
2009-12-31,14.77,$1.40,10.55
