Sanofi PE Ratio Historical Data,Sanofi PE Ratio Historical Data,Sanofi PE Ratio Historical Data,Sanofi PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,54.86,,29.82
2024-06-30,48.52,$1.84,26.37
2024-03-31,46.65,$1.99,23.44
2023-12-31,47.73,$2.36,20.23
2023-09-30,51.49,$3.19,16.14
2023-06-30,51.74,$2.98,17.36
2023-03-31,50.34,$3.44,14.63
2022-12-31,44.8,$2.58,17.36
2022-03-31,45.96,$2.74,16.77
2021-09-30,43.16,$2.75,15.69
2021-06-30,47.14,$2.40,19.64
2021-03-31,42.66,$3.23,13.21
2020-09-30,43.27,$3.00,14.42
2020-03-31,36.39,$2.59,14.05
2019-09-30,38.56,$1.91,20.19
2019-03-31,35.37,$1.81,19.54
2018-03-31,30.56,$1.74,17.57
2017-12-31,32.79,$3.65,8.98
2017-09-30,37.97,$3.92,9.69
2017-06-30,36.53,$3.92,9.32
2017-03-31,33.37,$3.98,8.39
2016-12-31,29.83,$2.04,14.62
2016-09-30,28.17,$2.40,11.74
2016-06-30,30.87,$2.22,13.9
2016-03-31,28.41,$2.05,13.86
2015-09-30,33.58,$1.80,18.66
2015-06-30,35.04,$1.61,21.76
2014-06-30,36.43,$1.60,22.77
2013-06-30,34.07,$2.17,15.7
2022-06-30,46.28,$2.66,17.4
2012-06-30,24.14,$3.21,7.52
2012-03-31,23.66,$3.23,7.32
2011-12-31,22.31,$3.54,6.3
2011-09-30,20.02,$3.05,6.57
2011-06-30,24.52,$2.85,8.61
2011-03-31,20.78,$3.14,6.62
2010-12-31,19.02,$3.15,6.04
2010-09-30,19.62,$3.56,5.51
2010-06-30,17.74,$3.97,4.47
2010-03-31,21.27,$4.36,4.88
2009-12-31,22.35,$4.21,5.31
2009-09-30,21.03,$4.42,4.76
