Argan PE Ratio Historical Data,Argan PE Ratio Historical Data,Argan PE Ratio Historical Data,Argan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,129.1,,40.6
2024-07-31,78.93,$3.18,24.82
2024-04-30,60.03,$2.81,21.36
2024-01-31,43.95,$2.39,18.39
2023-10-31,45.05,$2.50,18.02
2023-07-31,37.21,$2.66,13.99
2023-04-30,39.1,$2.02,19.36
2023-01-31,37.65,$2.36,15.95
2022-10-31,33.26,$1.50,22.17
2022-07-31,35.37,$1.72,20.56
2022-04-30,34.76,$2.23,15.59
2022-01-31,34.88,$2.40,14.53
2021-10-31,38.48,$2.86,13.46
2021-07-31,41.69,$2.68,15.56
2021-04-30,46.25,$2.23,20.74
2021-01-31,39.68,$1.51,26.28
2020-10-31,36.78,$0.45,81.74
2020-07-31,38.08,$-0.59,0.0
2020-04-30,32.44,$-0.88,0.0
2020-01-31,36.14,$-2.74,0.0
2019-10-31,32.3,$-2.42,0.0
2019-07-31,34.89,$0.09,387.63
2019-04-30,40.29,$1.10,36.63
2019-01-31,35.4,$3.32,10.66
2018-10-31,36.68,$3.91,9.38
2018-07-31,31.81,$2.93,10.86
2018-04-30,32.92,$3.57,9.22
2018-01-31,35.65,$4.57,7.8
2017-10-31,56.21,$5.41,10.39
2017-07-31,51.92,$5.48,9.47
2017-04-30,53.85,$5.05,10.66
2017-01-31,59.41,$4.55,13.06
2016-10-31,45.79,$3.71,12.34
2016-07-31,36.49,$3.27,11.16
2016-04-30,27.04,$2.73,9.9
2016-01-31,23.83,$2.42,9.85
2015-10-31,29.23,$2.37,12.33
2015-07-31,30.16,$2.49,12.11
2015-04-30,25.06,$2.32,10.8
2015-01-31,23.59,$2.06,11.45
2014-10-31,27.0,$2.29,11.79
2014-07-31,25.71,$2.28,11.28
2014-04-30,20.3,$2.59,7.84
2014-01-31,21.55,$2.80,7.7
2013-10-31,16.88,$2.63,6.42
2013-07-31,11.61,$2.23,5.21
2013-04-30,12.97,$1.79,7.24
2013-01-31,13.77,$1.66,8.3
2012-10-31,13.03,$1.53,8.52
2012-07-31,11.19,$1.25,8.95
2012-04-30,10.32,$0.95,10.86
2012-01-31,10.26,$0.67,15.31
2011-10-31,9.62,$0.41,23.47
2011-07-31,7.09,$0.37,19.16
2011-04-30,6.42,$0.46,13.97
2011-01-31,6.34,$0.57,11.12
2010-10-31,5.79,$0.46,12.59
2010-07-31,5.69,$0.49,11.62
2010-04-30,7.76,$0.44,17.65
2010-01-31,9.71,$0.51,19.03
2009-10-31,8.44,$0.92,9.18
