Bristow Group PE Ratio Historical Data,Bristow Group PE Ratio Historical Data,Bristow Group PE Ratio Historical Data,Bristow Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.51,,32.56
2024-06-30,33.53,$1.06,31.63
2024-03-31,27.2,$0.04,680.0
2023-12-31,28.27,$-0.24,0.0
2023-09-30,28.17,$0.04,704.25
2023-06-30,28.73,$0.47,61.13
2023-03-31,22.4,$0.67,33.43
2022-12-31,27.13,$0.57,47.6
2022-09-30,23.49,$0.57,41.21
2022-06-30,23.4,$0.09,260.0
2022-03-31,37.08,$-0.55,0.0
2021-12-31,31.67,$-0.40,0.0
2021-09-30,31.83,$-2.37,0.0
2021-06-30,25.61,$-3.42,0.0
2021-03-31,25.88,$2.24,11.55
2020-12-31,26.32,$1.19,22.12
2020-09-30,21.25,$3.07,6.92
2020-06-30,13.93,$3.75,3.71
2020-03-31,15.99,$-0.75,0.0
2019-12-31,30.51,$-0.54,0.0
2019-09-30,31.68,$-1.26,0.0
2019-06-30,25.02,$3.33,7.51
2019-03-31,34.62,$1.20,28.85
2018-12-31,26.22,$1.86,14.1
2018-09-30,37.05,$11.34,3.27
2018-06-30,38.85,$-4.71,0.0
2018-03-31,28.05,$-3.63,0.0
2017-12-31,32.25,$-4.26,0.0
2017-09-30,33.57,$-13.74,0.0
2017-06-30,28.38,$-2.10,0.0
2017-03-31,39.78,$-1.44,0.0
2016-12-31,50.91,$-1.20,0.0
2016-09-30,24.15,$-0.90,0.0
2016-06-30,28.2,$-0.69,0.0
2016-03-31,28.14,$0.69,40.78
2015-12-31,33.45,$1.26,26.55
2015-09-30,44.91,$2.25,19.96
2015-06-30,61.44,$2.76,22.26
2015-03-31,62.52,$1.89,33.07
2014-12-31,63.45,$2.55,24.88
2014-09-30,65.25,$2.34,27.88
2014-06-30,86.04,$2.46,34.97
2014-03-31,87.93,$2.43,36.18
2013-12-31,92.58,$2.61,35.47
