Community Financial System PE Ratio Historical Data,Community Financial System PE Ratio Historical Data,Community Financial System PE Ratio Historical Data,Community Financial System PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.72,,19.6
2024-06-30,46.84,$3.20,14.64
2024-03-31,47.16,$3.18,14.83
2023-12-31,50.64,$2.53,20.02
2023-09-30,40.67,$2.79,14.58
2023-06-30,44.71,$2.87,15.58
2023-03-31,49.63,$2.71,18.31
2022-12-31,59.04,$3.46,17.06
2022-09-30,55.94,$3.29,17.0
2022-06-30,58.51,$3.22,18.17
2022-03-31,64.41,$3.37,19.11
2021-12-31,67.99,$3.48,19.54
2021-09-30,62.09,$3.54,17.54
2021-06-30,68.21,$3.50,19.49
2021-03-31,68.81,$3.28,20.98
2020-12-31,55.6,$3.07,18.11
2020-09-30,48.28,$3.03,15.93
2020-06-30,50.19,$2.99,16.79
2020-03-31,51.39,$3.19,16.11
2019-12-31,61.55,$3.23,19.06
2019-09-30,53.21,$3.19,16.68
2019-06-30,56.44,$3.27,17.26
2019-03-31,50.94,$3.27,15.58
2018-12-31,49.38,$3.25,15.19
2018-09-30,51.4,$3.87,13.28
2018-06-30,49.42,$3.72,13.29
2018-03-31,44.56,$3.21,13.88
2017-12-31,44.45,$3.00,14.82
2017-09-30,45.4,$2.19,20.73
2017-06-30,45.52,$2.12,21.47
2017-03-31,44.63,$2.35,18.99
2016-12-31,49.88,$2.33,21.41
2016-09-30,38.63,$2.21,17.48
2016-06-30,32.77,$2.20,14.9
2016-03-31,30.24,$2.20,13.75
2015-12-31,31.36,$2.19,14.32
2015-09-30,28.96,$2.28,12.7
2015-06-30,29.17,$2.22,13.14
2015-03-31,27.11,$2.18,12.44
2014-12-31,28.97,$2.02,14.34
2014-09-30,25.32,$2.00,12.66
2014-03-31,28.95,$1.98,14.62
2013-12-31,29.22,$1.94,15.06
2013-09-30,24.94,$2.03,12.28
2013-06-30,22.36,$2.06,10.85
2013-03-31,21.28,$2.00,10.64
2012-12-31,19.46,$2.03,9.59
2014-06-30,27.06,$2.04,13.26
2012-09-30,19.86,$1.98,10.03
2012-06-30,18.92,$2.06,9.19
2012-03-31,19.88,$2.02,9.84
2011-12-31,19.03,$2.02,9.42
2011-09-30,15.38,$1.98,7.77
2011-06-30,16.61,$1.96,8.48
2011-03-31,16.1,$1.96,8.21
2010-12-31,18.24,$1.90,9.6
2010-09-30,14.97,$1.72,8.71
2010-06-30,14.19,$1.58,8.98
2010-03-31,14.51,$1.37,10.59
2009-12-31,12.19,$1.27,9.6
