WNS (Holdings) PE Ratio Historical Data,WNS (Holdings) PE Ratio Historical Data,WNS (Holdings) PE Ratio Historical Data,WNS (Holdings) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.18,,15.56
2024-06-30,52.5,$2.84,18.49
2024-03-31,50.0,$2.83,17.67
2023-12-31,63.2,$3.29,19.21
2023-09-30,68.46,$3.17,21.6
2023-06-30,73.72,$2.67,27.61
2023-03-31,93.17,$2.72,34.25
2022-12-31,79.99,$2.76,28.98
2022-09-30,81.84,$2.75,29.76
2022-06-30,74.64,$2.73,27.34
2022-03-31,85.49,$2.60,32.88
2021-12-31,88.22,$2.37,37.22
2021-09-30,81.8,$2.29,35.72
2021-06-30,79.87,$2.21,36.14
2021-03-31,72.44,$1.98,36.59
2020-12-31,72.05,$2.02,35.67
2020-09-30,63.96,$2.02,31.66
2020-06-30,54.98,$2.02,27.22
2020-03-31,42.98,$2.26,19.02
2019-12-31,66.15,$2.26,29.27
2019-09-30,58.75,$2.21,26.58
2019-06-30,59.2,$2.13,27.79
2019-03-31,53.27,$2.07,25.73
2018-12-31,41.26,$2.01,20.53
2018-09-30,50.75,$1.82,27.88
2018-03-31,45.33,$1.66,27.31
2017-12-31,40.13,$1.09,36.82
2017-09-30,36.5,$0.93,39.25
2017-06-30,34.36,$0.81,42.42
2017-03-31,28.61,$0.72,39.74
2016-12-31,27.55,$1.12,24.6
2016-09-30,29.95,$1.07,27.99
2016-06-30,27.0,$1.12,24.11
2016-03-31,30.64,$1.13,27.12
2015-12-31,31.19,$1.11,28.1
2015-09-30,27.95,$1.12,24.96
2015-06-30,26.75,$1.12,23.88
2015-03-31,24.32,$1.11,21.91
2014-12-31,20.66,$1.08,19.13
2014-09-30,22.51,$1.00,22.51
2014-06-30,19.18,$0.89,21.55
2014-03-31,18.0,$0.79,22.78
2013-12-31,21.91,$0.70,31.3
2013-09-30,21.22,$0.59,35.97
2013-06-30,16.69,$0.49,34.06
2013-03-31,14.74,$0.42,35.1
2012-12-31,10.43,$0.68,15.34
2012-09-30,10.24,$0.65,15.75
2012-06-30,9.73,$0.66,14.74
2018-06-30,52.18,$0.68,76.74
2012-03-31,12.05,$0.27,44.63
2011-12-31,8.98,$0.29,30.97
2011-09-30,11.95,$0.33,36.21
2011-06-30,9.0,$0.36,25.0
2011-03-31,10.55,$0.21,50.24
2010-12-31,11.53,$0.12,96.08
2010-09-30,8.92,$-0.00,0.0
2010-06-30,11.74,$-0.08,0.0
2010-03-31,10.73,$0.08,134.13
2009-12-31,15.03,$0.12,125.25
