Calix PE Ratio Historical Data,Calix PE Ratio Historical Data,Calix PE Ratio Historical Data,Calix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,39.9,,665.0
2024-06-30,35.43,$0.06,590.5
2024-03-31,33.16,$0.31,106.97
2023-12-31,43.69,$0.45,97.09
2023-09-30,45.84,$0.68,67.41
2023-06-30,49.91,$0.63,79.22
2023-03-31,53.59,$0.61,87.85
2022-12-31,68.43,$0.59,115.98
2022-09-30,61.14,$0.71,86.11
2022-06-30,34.14,$3.13,10.91
2022-03-31,42.91,$3.32,12.92
2021-12-31,79.97,$3.51,22.78
2021-09-30,49.43,$3.59,13.77
2021-06-30,47.5,$1.30,36.54
2021-03-31,34.66,$0.93,37.27
2020-12-31,29.76,$0.50,59.52
2020-09-30,17.78,$0.14,127.0
2020-06-30,14.9,$-0.24,0.0
2020-03-31,7.08,$-0.26,0.0
2019-12-31,8.0,$-0.32,0.0
2019-09-30,6.39,$-0.43,0.0
2019-06-30,6.56,$-0.35,0.0
2019-03-31,7.7,$-0.31,0.0
2018-12-31,9.75,$-0.36,0.0
2018-09-30,8.1,$-0.51,0.0
2018-06-30,7.8,$-0.88,0.0
2018-03-31,6.85,$-1.21,0.0
2017-12-31,5.95,$-1.65,0.0
2017-09-30,5.05,$-1.63,0.0
2017-06-30,6.85,$-1.27,0.0
2017-03-31,7.25,$-1.01,0.0
2016-12-31,7.7,$-0.56,0.0
2016-09-30,7.35,$-0.52,0.0
2016-06-30,6.91,$-0.51,0.0
2016-03-31,7.09,$-0.50,0.0
2015-12-31,7.87,$-0.51,0.0
2015-09-30,7.79,$-0.35,0.0
2015-06-30,7.61,$-0.45,0.0
2015-03-31,8.39,$-0.42,0.0
2014-12-31,10.02,$-0.39,0.0
2014-09-30,9.57,$-0.49,0.0
2014-06-30,8.18,$-0.40,0.0
2014-03-31,8.43,$-0.45,0.0
2013-12-31,9.64,$-0.39,0.0
2013-09-30,12.73,$-0.41,0.0
2013-03-31,8.15,$-0.57,0.0
2012-12-31,7.69,$-0.60,0.0
2012-09-30,6.4,$-0.57,0.0
2012-06-30,8.22,$-0.57,0.0
2012-03-31,8.53,$-0.80,0.0
2011-12-31,6.47,$-1.19,0.0
2011-09-30,7.8,$-1.10,0.0
2011-06-30,20.82,$-1.09,0.0
2011-03-31,20.31,$-0.80,0.0
2010-12-31,16.9,$-0.57,0.0
2010-09-30,14.36,$-0.65,0.0
