Analog Devices PE Ratio Historical Data,Analog Devices PE Ratio Historical Data,Analog Devices PE Ratio Historical Data,Analog Devices PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,234.84,,63.99
2024-07-31,231.38,$3.67,63.05
2024-01-31,190.69,$5.59,34.11
2023-10-31,155.24,$6.54,23.74
2023-07-31,195.95,$7.36,26.62
2023-04-30,175.82,$6.23,28.22
2023-01-31,166.81,$5.75,29.01
2022-10-31,138.12,$5.36,25.77
2024-04-30,199.81,$4.07,49.09
2022-07-31,165.73,$3.62,45.78
2022-04-30,148.11,$3.53,41.96
2022-01-31,156.57,$3.18,49.23
2021-10-31,165.03,$3.69,44.72
2021-07-31,158.6,$4.57,34.7
2021-04-30,144.48,$4.19,34.48
2021-01-31,138.36,$3.77,36.7
2020-10-31,110.82,$3.28,33.79
2020-07-31,106.82,$2.98,35.85
2020-04-30,101.37,$2.98,34.02
2020-01-31,100.93,$3.24,31.15
2019-10-31,97.6,$3.64,26.81
2019-07-31,106.98,$4.05,26.41
2019-04-30,105.29,$4.09,25.74
2019-01-31,89.1,$3.82,23.32
2018-10-31,75.05,$3.80,19.75
2018-04-30,77.56,$2.83,27.41
2018-01-31,81.17,$2.09,38.84
2017-10-31,80.24,$2.07,38.76
2017-07-31,69.05,$2.09,33.04
2017-04-30,66.23,$2.65,24.99
2017-01-31,64.78,$2.93,22.11
2016-10-31,55.1,$2.76,19.96
2016-07-31,54.5,$2.11,25.83
2016-04-30,47.74,$2.05,23.29
2016-01-31,45.29,$2.15,21.06
2015-10-31,50.22,$2.20,22.83
2015-07-31,48.37,$2.24,21.59
2015-04-30,50.98,$2.13,23.94
2015-01-31,42.67,$2.07,20.61
2014-10-31,40.37,$1.98,20.39
2014-07-31,40.08,$2.28,17.58
2014-04-30,41.13,$2.27,18.12
2014-01-31,38.43,$2.20,17.47
2013-10-31,38.98,$2.14,18.21
2013-07-31,38.76,$2.08,18.63
2013-04-30,34.27,$2.08,16.48
2013-01-31,33.75,$2.09,16.15
2012-10-31,30.03,$2.13,14.1
2012-07-31,29.77,$2.15,13.85
2012-04-30,29.45,$2.30,12.8
2012-01-31,29.33,$2.55,11.5
2011-10-31,27.22,$2.81,9.69
2011-07-31,25.41,$2.94,8.64
2011-04-30,29.59,$2.88,10.27
2011-01-31,28.34,$2.65,10.7
2010-10-31,24.43,$2.33,10.49
2010-07-31,21.4,$1.96,10.92
2010-04-30,21.39,$1.53,13.98
2010-01-31,19.14,$1.16,16.5
2009-10-31,18.07,$0.85,21.26
2009-07-31,19.16,$1.59,12.05
