Albemarle PE Ratio Historical Data,Albemarle PE Ratio Historical Data,Albemarle PE Ratio Historical Data,Albemarle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,90.25,,0.0
2024-06-30,95.52,$-4.73,0.0
2024-03-31,131.23,$2.75,47.72
2023-12-31,143.45,$13.34,10.75
2023-09-30,168.36,$28.20,5.97
2023-06-30,220.41,$33.24,6.63
2023-03-31,218.01,$31.18,6.99
2022-12-31,213.49,$22.82,9.36
2022-09-30,259.9,$13.19,19.7
2022-06-30,205.11,$2.22,92.39
2022-03-31,216.7,$2.38,91.05
2021-12-31,228.61,$1.07,213.65
2021-09-30,213.77,$1.89,113.11
2021-06-30,164.18,$6.17,26.61
2021-03-31,142.07,$3.35,42.41
2020-12-31,143.1,$3.52,40.65
2020-09-30,86.37,$3.58,24.13
2020-06-30,74.41,$4.12,18.06
2020-03-31,54.04,$4.77,11.33
2019-12-31,69.61,$5.02,13.87
2019-09-30,65.9,$5.38,12.25
2019-06-30,66.39,$5.12,12.97
2019-03-31,76.91,$6.40,12.02
2018-12-31,72.0,$6.32,11.39
2018-09-30,92.86,$3.16,29.38
2018-06-30,87.49,$3.02,28.97
2018-03-31,85.71,$1.21,70.84
2017-12-31,117.8,$0.48,245.43
2017-09-30,125.25,$7.73,16.2
2017-06-30,96.73,$7.80,12.4
2017-03-31,96.55,$4.10,23.55
2016-12-31,78.43,$5.67,13.83
2016-09-30,77.63,$1.92,40.43
2016-06-30,71.73,$1.37,52.36
2016-03-31,57.6,$4.61,12.49
2015-12-31,50.21,$2.99,16.79
2015-09-30,39.29,$1.20,32.74
2015-06-30,48.91,$1.55,31.55
2015-03-31,46.53,$1.37,33.96
2014-12-31,52.67,$1.68,31.35
2014-09-30,51.34,$3.83,13.41
2014-06-30,62.06,$4.01,15.48
2014-03-31,57.43,$4.71,12.19
2013-12-31,54.58,$4.94,11.05
2013-09-30,54.0,$3.45,15.65
2013-06-30,53.25,$3.44,15.48
2013-03-31,53.24,$2.88,18.48
2012-12-31,52.7,$3.14,16.78
2012-09-30,44.54,$3.83,11.63
2012-06-30,50.24,$4.01,12.53
2012-03-31,53.66,$4.82,11.13
2011-12-31,43.11,$4.77,9.04
2011-09-30,33.69,$4.58,7.36
2011-06-30,57.51,$4.32,13.31
2011-03-31,49.54,$3.98,12.45
2010-12-31,46.1,$3.52,13.1
2010-09-30,38.59,$3.28,11.76
2010-06-30,32.63,$2.83,11.53
2010-03-31,34.91,$2.36,14.79
2009-12-31,29.68,$1.95,15.22
