IES Holdings PE Ratio Historical Data,IES Holdings PE Ratio Historical Data,IES Holdings PE Ratio Historical Data,IES Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,229.9,,27.08
2024-06-30,139.33,$8.49,16.41
2024-03-31,121.64,$6.63,18.35
2023-12-31,79.22,$5.26,15.06
2023-09-30,65.87,$4.53,14.54
2023-06-30,56.88,$3.59,15.84
2023-03-31,43.09,$3.11,13.86
2022-12-31,35.57,$1.89,18.82
2022-09-30,27.62,$1.44,19.18
2022-06-30,30.17,$1.79,16.85
2022-03-31,40.2,$2.38,16.89
2021-12-31,50.64,$3.26,15.53
2021-09-30,45.69,$3.15,14.5
2021-06-30,51.36,$2.76,18.61
2021-03-31,50.41,$2.42,20.83
2020-12-31,46.04,$2.13,21.62
2020-09-30,31.77,$1.94,16.38
2020-06-30,23.17,$1.72,13.47
2020-03-31,17.65,$1.66,10.63
2019-12-31,25.66,$1.63,15.74
2019-09-30,20.59,$1.56,13.2
2019-06-30,18.85,$1.32,14.28
2019-03-31,17.77,$1.20,14.81
2018-12-31,15.55,$1.05,14.81
2018-09-30,19.5,$-0.66,0.0
2018-06-30,16.75,$-0.74,0.0
2018-03-31,15.15,$-0.87,0.0
2017-12-31,17.25,$-0.96,0.0
2017-09-30,17.3,$0.61,28.36
2017-06-30,18.15,$5.21,3.48
2017-03-31,18.1,$5.44,3.33
2016-12-31,19.15,$5.52,3.47
2016-09-30,17.79,$5.61,3.17
2016-06-30,12.42,$1.22,10.18
2016-03-31,14.67,$0.91,16.12
2015-12-31,11.07,$0.89,12.44
2015-09-30,7.72,$0.77,10.03
2015-06-30,7.1,$0.51,13.92
2015-03-31,8.8,$0.46,19.13
2014-12-31,7.66,$0.40,19.15
2014-09-30,8.25,$0.26,31.73
2014-06-30,6.67,$0.05,133.4
2014-03-31,6.21,$-0.17,0.0
2013-12-31,5.39,$-0.26,0.0
2013-09-30,4.06,$-0.24,0.0
2013-06-30,4.44,$-0.22,0.0
2013-03-31,6.5,$-0.36,0.0
2012-12-31,4.5,$-0.52,0.0
2012-09-30,4.55,$-0.81,0.0
2012-06-30,2.74,$-1.53,0.0
2012-03-31,3.85,$-2.01,0.0
2011-12-31,1.85,$-2.42,0.0
2011-09-30,2.03,$-2.42,0.0
2011-06-30,3.14,$-2.40,0.0
2011-03-31,3.41,$-2.15,0.0
2010-12-31,3.52,$-2.43,0.0
2010-09-30,3.76,$-2.23,0.0
2010-06-30,3.49,$-2.25,0.0
2010-03-31,5.65,$-1.69,0.0
2009-12-31,5.85,$-0.86,0.0
