Loews PE Ratio Historical Data,Loews PE Ratio Historical Data,Loews PE Ratio Historical Data,Loews PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,81.94,,12.0
2024-06-30,74.68,$6.83,10.93
2024-03-31,78.23,$6.74,11.61
2023-12-31,69.48,$6.30,11.03
2023-09-30,63.15,$5.84,10.81
2023-06-30,59.17,$5.26,11.25
2023-03-31,57.75,$4.41,13.1
2022-12-31,58.0,$4.16,13.94
2022-09-30,49.5,$4.00,12.38
2022-06-30,58.8,$4.31,13.64
2022-03-31,64.25,$6.44,9.98
2021-12-31,57.2,$6.05,9.45
2021-09-30,53.35,$6.13,8.7
2021-06-30,54.0,$5.78,9.34
2021-03-31,50.61,$-0.04,0.0
2020-12-31,44.38,$-3.21,0.0
2020-09-30,34.21,$-3.93,0.0
2020-06-30,33.7,$-4.19,0.0
2020-03-31,34.16,$-0.41,0.0
2019-12-31,51.42,$3.06,16.8
2019-09-30,50.37,$1.80,27.98
2019-06-30,53.42,$2.44,21.89
2019-03-31,46.78,$2.34,19.99
2018-12-31,44.37,$1.96,22.64
2018-09-30,48.89,$3.92,12.47
2018-06-30,46.94,$3.50,13.41
2018-03-31,48.28,$3.47,13.91
2017-12-31,48.51,$3.45,14.06
2017-09-30,46.35,$2.81,16.5
2017-06-30,45.27,$3.32,13.64
2017-03-31,45.18,$2.44,18.51
2016-12-31,45.17,$1.87,24.16
2016-09-30,39.64,$0.50,79.28
2016-06-30,39.52,$0.03,1317.38
2016-03-31,36.74,$0.68,54.03
2015-12-31,36.81,$0.67,54.95
2015-09-30,34.59,$1.80,19.22
2015-06-30,36.8,$1.85,19.89
2015-03-31,38.95,$1.69,23.05
2014-12-31,40.03,$1.55,25.82
2014-09-30,39.63,$0.49,80.87
2014-06-30,41.8,$0.67,62.39
2014-03-31,41.78,$1.06,39.41
2013-12-31,45.69,$1.53,29.86
2013-09-30,44.21,$1.96,22.56
2013-06-30,41.94,$1.68,24.96
2013-03-31,41.57,$1.13,36.79
2012-12-31,38.33,$1.43,26.8
2012-09-30,38.75,$2.18,17.77
2012-06-30,38.36,$2.13,18.01
2012-03-31,37.32,$2.61,14.3
2011-12-31,35.19,$2.61,13.48
2011-09-30,32.24,$3.06,10.53
2011-06-30,39.2,$2.75,14.26
2011-03-31,40.08,$3.00,13.36
2010-12-31,36.14,$3.07,11.77
2010-09-30,35.14,$2.89,12.16
2010-06-30,30.83,$3.88,7.95
2010-03-31,34.44,$3.79,9.09
2009-12-31,33.52,$1.31,25.59
