RTX PE Ratio Historical Data,RTX PE Ratio Historical Data,RTX PE Ratio Historical Data,RTX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,123.34,,71.29
2024-06-30,99.86,$1.73,57.72
2024-03-31,96.43,$2.55,37.82
2023-12-31,82.65,$2.24,36.9
2023-09-30,70.18,$2.15,32.64
2023-06-30,94.86,$3.77,25.16
2023-03-31,94.25,$3.75,25.13
2022-12-31,96.6,$3.50,27.6
2022-09-30,77.9,$3.00,25.97
2022-06-30,90.93,$2.99,30.41
2022-03-31,93.17,$2.79,33.39
2021-12-31,80.5,$2.57,31.32
2021-09-30,79.93,$2.20,36.33
2021-06-30,78.85,$1.44,54.75
2021-03-31,70.99,$-1.79,0.0
2020-12-31,65.28,$-2.39,0.0
2020-09-30,52.14,$-1.16,0.0
2020-06-30,55.42,$0.00,0.0
2020-03-31,84.09,$4.75,17.7
2019-12-31,132.87,$6.41,20.73
2019-09-30,120.53,$5.92,20.36
2019-06-30,114.95,$6.13,18.75
2019-03-31,113.17,$6.49,17.44
2018-12-31,92.95,$6.55,14.19
2018-09-30,121.35,$6.22,19.51
2018-06-30,107.96,$6.35,17.0
2018-03-31,108.03,$5.59,19.33
2017-12-31,108.95,$5.70,19.11
2017-09-30,98.55,$6.45,15.28
2017-06-30,103.06,$6.56,15.71
2017-03-31,94.18,$6.41,14.69
2016-12-31,91.47,$6.11,14.97
2016-09-30,84.26,$8.72,9.66
2016-06-30,84.53,$8.48,9.97
2016-03-31,81.97,$8.56,9.58
2015-12-31,78.1,$8.71,8.97
2015-09-30,71.88,$6.47,11.11
2015-06-30,89.02,$6.97,12.77
2015-03-31,93.55,$7.08,13.21
2014-12-31,91.3,$6.82,13.39
2014-09-30,83.38,$6.80,12.26
2014-06-30,90.65,$6.33,14.32
2014-03-31,91.28,$6.20,14.72
2013-12-31,88.45,$6.27,14.11
2013-09-30,83.34,$6.93,12.03
2013-06-30,71.47,$6.92,10.33
2013-03-31,71.45,$6.68,10.7
2012-12-31,62.35,$5.66,11.02
2012-09-30,59.09,$4.87,12.13
2012-06-30,56.62,$4.78,11.85
2012-03-31,61.78,$4.76,12.98
2011-12-31,54.13,$5.50,9.84
2011-09-30,51.79,$5.34,9.7
2011-06-30,64.71,$5.17,12.52
2011-03-31,61.55,$4.92,12.51
2010-12-31,56.96,$4.74,12.02
2010-09-30,51.24,$4.58,11.19
2010-06-30,46.41,$4.42,10.5
2010-03-31,52.33,$4.27,12.26
2009-12-31,49.03,$4.12,11.9
