Sixth Street Specialty Lending PE Ratio Historical Data,Sixth Street Specialty Lending PE Ratio Historical Data,Sixth Street Specialty Lending PE Ratio Historical Data,Sixth Street Specialty Lending PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.74,,8.79
2024-06-30,20.83,$2.36,8.83
2024-03-31,20.46,$2.48,8.25
2023-12-31,20.1,$2.60,7.73
2023-09-30,18.55,$2.59,7.16
2023-06-30,16.54,$2.28,7.25
2023-03-31,15.77,$1.50,10.51
2022-12-31,14.87,$1.36,10.94
2022-09-30,13.31,$1.36,9.79
2022-06-30,14.73,$1.63,9.04
2022-03-31,18.12,$2.52,7.19
2021-12-31,17.79,$2.76,6.44
2021-09-30,16.19,$2.98,5.43
2021-06-30,15.87,$3.49,4.55
2021-03-31,14.73,$4.18,3.52
2020-12-31,13.44,$2.63,5.11
2020-09-30,10.87,$2.41,4.51
2020-06-30,10.17,$1.66,6.13
2020-03-31,8.14,$0.95,8.57
2019-12-31,12.24,$2.34,5.23
2019-09-30,11.7,$1.99,5.88
2019-06-30,10.71,$2.10,5.1
2019-03-31,10.71,$1.90,5.64
2018-12-31,9.44,$1.87,5.05
2018-09-30,10.44,$2.09,4.99
2018-06-30,8.97,$1.93,4.65
2018-03-31,8.71,$1.94,4.49
2017-12-31,9.44,$1.85,5.1
2017-09-30,9.78,$1.96,4.99
2017-06-30,9.31,$2.17,4.29
2017-03-31,8.93,$2.48,3.6
2016-12-31,8.18,$2.33,3.51
2016-09-30,7.76,$1.70,4.57
2016-06-30,6.97,$1.25,5.57
2016-03-31,6.61,$1.04,6.36
2015-12-31,6.49,$1.17,5.55
2015-09-30,6.42,$1.51,4.25
2015-06-30,6.5,$1.69,3.84
2015-03-31,6.43,$1.57,4.1
2014-12-31,6.15,$1.73,3.55
