Avis Budget PE Ratio Historical Data,Avis Budget PE Ratio Historical Data,Avis Budget PE Ratio Historical Data,Avis Budget PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,80.26,,3.81
2024-06-30,104.52,$21.08,4.96
2024-03-31,122.46,$31.68,3.87
2023-12-31,177.26,$42.61,4.16
2023-09-30,170.82,$45.61,3.75
2023-06-30,217.38,$50.50,4.3
2023-03-31,185.18,$55.20,3.35
2022-12-31,155.84,$57.19,2.72
2022-09-30,141.13,$53.72,2.63
2022-06-30,139.82,$42.50,3.29
2022-03-31,250.3,$32.42,7.72
2021-12-31,197.13,$20.28,9.72
2021-09-30,110.76,$12.36,8.96
2021-06-30,74.04,$2.54,29.15
2021-03-31,68.96,$-10.00,0.0
2020-12-31,35.46,$-9.73,0.0
2020-09-30,25.02,$-6.54,0.0
2020-06-30,21.76,$-4.67,0.0
2020-03-31,13.21,$3.05,4.33
2019-12-31,30.65,$4.01,7.64
2019-09-30,26.86,$2.27,11.83
2019-06-30,33.42,$2.45,13.64
2019-03-31,33.14,$1.96,16.91
2018-12-31,21.37,$2.08,10.27
2018-09-30,30.55,$4.57,6.69
2018-06-30,30.9,$4.80,6.44
2018-03-31,44.53,$4.52,9.85
2017-12-31,41.71,$4.35,9.59
2017-09-30,36.18,$1.35,26.8
2017-06-30,25.92,$0.72,36.01
2017-03-31,28.12,$1.06,26.53
2016-12-31,34.87,$1.78,19.59
2016-09-30,32.52,$2.07,15.71
2016-06-30,30.64,$1.56,19.64
2016-03-31,26.01,$2.52,10.32
2015-12-31,34.5,$2.96,11.65
2015-09-30,41.52,$3.23,12.86
2015-06-30,41.9,$3.20,13.1
2015-03-31,56.1,$2.10,26.72
2014-12-31,63.06,$2.23,28.28
2014-09-30,52.18,$1.76,29.65
2014-06-30,56.74,$1.04,54.56
2014-03-31,46.3,$0.54,85.73
2013-12-31,38.42,$0.07,548.92
2013-09-30,27.41,$-0.10,0.0
2013-06-30,27.33,$1.26,21.69
2013-03-31,26.46,$2.18,12.14
2012-12-31,18.84,$2.39,7.88
2012-09-30,14.62,$1.20,12.18
2012-06-30,14.45,$-0.53,0.0
2012-03-31,13.45,$-0.77,0.0
2011-12-31,10.19,$-0.49,0.0
2011-09-30,9.19,$0.90,10.21
2011-06-30,16.25,$0.98,16.58
2011-03-31,17.03,$0.78,21.83
2010-12-31,14.79,$0.35,42.26
2010-09-30,11.07,$0.11,100.68
2010-06-30,9.34,$-0.08,0.0
2010-03-31,10.93,$-0.36,0.0
2009-12-31,12.47,$-0.47,0.0
