Edgewell Personal Care PE Ratio Historical Data,Edgewell Personal Care PE Ratio Historical Data,Edgewell Personal Care PE Ratio Historical Data,Edgewell Personal Care PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.92,,15.22
2024-06-30,40.04,$2.36,16.97
2024-03-31,38.5,$2.39,16.11
2023-12-31,36.35,$2.04,17.82
2023-09-30,36.51,$2.18,16.75
2023-06-30,40.65,$2.25,18.07
2023-03-31,41.59,$1.81,22.98
2022-12-31,37.66,$1.87,20.14
2022-09-30,36.41,$1.84,19.79
2022-06-30,33.48,$2.00,16.74
2022-03-31,35.41,$2.17,16.32
2021-12-31,43.96,$2.00,21.98
2021-09-30,34.78,$2.12,16.41
2021-06-30,41.91,$1.70,24.65
2021-03-31,37.68,$1.05,35.88
2020-12-31,32.74,$1.15,28.47
2020-09-30,26.29,$1.24,21.2
2020-06-30,29.38,$1.61,18.25
2020-03-31,22.7,$-6.64,0.0
2019-12-31,29.19,$-6.64,0.0
2019-09-30,30.63,$-6.83,0.0
2019-06-30,25.41,$-6.38,0.0
2018-09-30,43.59,$1.90,22.94
2018-06-30,47.57,$-1.07,0.0
2018-03-31,46.03,$-0.40,0.0
2017-12-31,55.99,$-0.65,0.0
2017-09-30,68.61,$0.37,185.43
2019-03-31,41.38,$3.56,11.62
2017-06-30,71.67,$3.55,20.19
2017-03-31,68.96,$3.21,21.48
2016-12-31,68.82,$2.06,33.41
2016-09-30,74.97,$2.58,29.06
2016-06-30,79.58,$2.09,38.08
2018-12-31,35.21,$-2.09,0.0
2016-03-31,75.92,$-3.25,0.0
2015-12-31,73.89,$-5.76,0.0
2015-09-30,76.93,$-4.79,0.0
2015-06-30,92.03,$-0.19,0.0
2015-03-31,96.23,$2.55,37.74
2014-09-30,85.23,$5.67,15.03
2014-06-30,84.07,$5.97,14.08
2014-03-31,69.1,$6.63,10.42
2013-12-31,73.86,$6.44,11.47
2013-09-30,61.9,$6.08,10.18
2014-12-31,89.29,$6.49,13.76
2013-06-30,67.91,$6.64,10.23
2013-03-31,67.12,$6.32,10.62
2012-12-31,53.59,$6.14,8.73
2012-09-30,49.73,$6.22,8.0
2012-06-30,49.86,$5.05,9.87
2012-03-31,49.15,$4.92,9.99
2011-12-31,51.34,$4.30,11.94
2011-09-30,44.03,$3.70,11.9
2011-06-30,47.95,$4.23,11.34
2011-03-31,47.15,$4.77,9.89
2010-12-31,48.31,$5.47,8.83
2010-09-30,44.55,$5.70,7.82
2010-06-30,33.32,$5.03,6.62
2010-03-31,41.59,$4.69,8.87
2009-12-31,40.61,$4.74,8.57
