XPO PE Ratio Historical Data,XPO PE Ratio Historical Data,XPO PE Ratio Historical Data,XPO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,114.27,,37.96
2024-06-30,106.15,$3.01,35.27
2024-03-31,122.03,$2.04,59.82
2023-12-31,87.59,$1.61,54.4
2023-09-30,74.66,$0.31,240.84
2023-06-30,59.0,$0.73,80.82
2023-03-31,31.9,$1.67,19.1
2022-12-31,33.29,$5.76,5.78
2022-09-30,44.52,$7.62,5.84
2022-06-30,48.16,$6.00,8.03
2022-03-31,72.8,$6.16,11.82
2021-12-31,77.43,$2.96,26.16
2021-09-30,79.58,$2.82,28.22
2021-06-30,82.73,$4.14,19.98
2021-03-31,72.92,$1.31,55.66
2020-12-31,70.5,$0.49,143.87
2020-09-30,50.07,$0.51,98.17
2020-06-30,45.69,$0.82,55.71
2020-03-31,28.83,$3.46,8.33
2019-12-31,47.14,$3.63,12.98
2019-09-30,42.33,$3.32,12.75
2019-06-30,34.19,$2.92,11.71
2019-03-31,31.78,$2.76,11.52
2018-12-31,33.73,$2.89,11.67
2018-09-30,67.52,$3.69,18.3
2018-06-30,59.25,$3.39,17.48
2018-03-31,60.21,$2.52,23.89
2017-12-31,54.17,$2.24,24.18
2017-09-30,40.09,$0.93,43.1
2017-03-31,28.32,$0.84,33.72
2016-12-31,25.53,$0.47,54.31
2016-09-30,21.69,$-0.33,0.0
2016-06-30,15.53,$-0.06,0.0
2016-03-31,18.16,$-1.35,0.0
2015-12-31,16.12,$-2.03,0.0
2017-06-30,38.22,$-1.65,0.0
2015-09-30,14.09,$-2.80,0.0
2015-06-30,26.72,$-2.09,0.0
2015-03-31,26.89,$-1.48,0.0
2014-12-31,24.18,$-1.98,0.0
2014-09-30,22.28,$-1.58,0.0
2014-06-30,16.93,$-1.63,0.0
2014-03-31,17.39,$-2.35,0.0
2013-12-31,15.55,$-2.50,0.0
2013-09-30,12.82,$-2.70,0.0
2013-06-30,10.7,$-2.64,0.0
2013-03-31,9.96,$-1.98,0.0
2012-12-31,10.28,$-1.49,0.0
2012-09-30,7.24,$-1.19,0.0
2012-06-30,9.94,$-6.35,0.0
2012-03-31,9.94,$-5.89,0.0
2011-12-31,7.3,$-5.41,0.0
2011-09-30,4.54,$-5.06,0.0
2011-06-30,7.36,$0.52,14.15
2011-03-31,5.02,$0.60,8.36
2010-12-31,6.06,$0.60,10.09
2010-09-30,4.45,$0.60,7.41
2010-06-30,2.98,$0.52,5.73
2010-03-31,3.45,$0.36,9.59
2009-12-31,3.03,$0.24,12.62
