Harley-Davidson PE Ratio Historical Data,Harley-Davidson PE Ratio Historical Data,Harley-Davidson PE Ratio Historical Data,Harley-Davidson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.65,,7.46
2024-06-30,33.39,$4.91,6.8
2024-03-31,43.54,$4.50,9.68
2023-12-31,36.5,$4.82,7.57
2023-09-30,32.59,$4.92,6.62
2023-06-30,34.53,$5.32,6.49
2023-03-31,37.05,$5.56,6.66
2022-12-31,40.45,$4.97,8.14
2022-09-30,33.8,$4.83,7.0
2022-06-30,30.56,$4.10,7.45
2022-03-31,37.86,$3.97,9.54
2021-12-31,36.08,$1.89,19.09
2021-09-30,34.91,$2.53,13.8
2021-06-30,43.51,$0.88,49.45
2020-12-31,34.6,$0.00,0.0
2020-09-30,23.12,$0.72,32.12
2020-06-30,22.38,$1.62,13.82
2020-03-31,17.81,$2.77,6.43
2019-12-31,34.55,$3.55,9.73
2021-03-31,37.96,$4.26,8.91
2019-09-30,33.09,$2.58,12.82
2019-06-30,32.62,$2.71,12.04
2019-03-31,32.1,$2.93,10.96
2018-12-31,30.4,$3.16,9.62
2018-09-30,39.94,$3.21,12.44
2018-06-30,36.8,$2.93,12.56
2018-03-31,37.17,$2.96,12.56
2017-12-31,43.76,$2.98,14.69
2017-09-30,41.16,$3.20,12.86
2017-06-30,45.77,$3.44,13.31
2017-03-31,50.91,$3.51,14.51
2016-12-31,48.78,$3.82,12.77
2016-09-30,43.72,$3.77,11.6
2016-06-30,37.4,$3.82,9.79
2016-03-31,42.05,$3.71,11.33
2015-12-31,36.85,$3.62,10.18
2015-09-30,44.27,$3.75,11.81
2015-06-30,45.19,$3.75,12.05
2015-03-31,48.44,$3.93,12.32
2014-12-31,52.3,$3.87,13.52
2014-09-30,46.0,$3.86,11.92
2014-06-30,54.97,$3.90,14.09
2014-03-31,52.22,$3.49,14.96
2013-12-31,54.05,$3.27,16.53
2013-09-30,49.99,$3.24,15.43
2013-06-30,42.52,$3.10,13.72
2013-03-31,41.19,$2.96,13.91
2012-12-31,37.58,$2.71,13.87
2012-09-30,32.51,$2.86,11.37
2012-06-30,34.96,$3.05,11.46
2012-03-31,37.4,$2.79,13.4
2011-12-31,29.52,$2.56,11.53
2011-09-30,25.98,$1.90,13.67
2011-06-30,30.9,$1.50,20.6
2011-03-31,31.94,$0.99,32.26
2010-12-31,26.0,$-0.46,0.0
2010-09-30,21.26,$-0.15,0.0
2010-06-30,16.56,$-0.45,0.0
2009-12-31,18.63,$-0.25,0.0
2009-09-30,16.94,$0.83,20.41
