Origin Bancorp PE Ratio Historical Data,Origin Bancorp PE Ratio Historical Data,Origin Bancorp PE Ratio Historical Data,Origin Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.94,,12.95
2024-06-30,31.57,$2.62,12.05
2024-03-31,30.95,$2.65,11.68
2023-12-31,35.06,$2.71,12.94
2023-09-30,28.33,$3.23,8.77
2023-06-30,28.61,$3.01,9.51
2023-03-31,31.22,$3.21,9.73
2022-12-31,35.5,$3.29,10.79
2022-09-30,37.08,$3.54,10.48
2022-06-30,37.28,$4.11,9.07
2022-03-31,40.47,$4.38,9.24
2021-12-31,40.95,$4.59,8.92
2021-09-30,40.29,$4.14,9.73
2021-06-30,40.26,$3.56,11.31
2021-03-31,40.1,$2.60,15.42
2020-12-31,26.17,$1.55,16.89
2020-09-30,20.05,$1.35,14.85
2020-06-30,20.57,$1.41,14.59
2020-03-31,18.84,$1.72,10.95
2019-12-31,35.11,$2.29,15.33
2019-09-30,31.22,$2.29,13.63
2019-06-30,30.54,$2.19,13.94
2019-03-31,31.48,$2.20,14.31
