OPENLANE PE Ratio Historical Data,OPENLANE PE Ratio Historical Data,OPENLANE PE Ratio Historical Data,OPENLANE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.33,,108.87
2024-06-30,16.59,$0.15,110.6
2024-03-31,17.3,$-1.79,0.0
2023-12-31,14.81,$-1.66,0.0
2023-09-30,14.92,$-1.83,0.0
2023-06-30,15.22,$-0.56,0.0
2022-12-31,13.05,$1.22,10.7
2022-09-30,11.17,$1.00,11.17
2022-06-30,14.77,$1.16,12.73
2022-03-31,18.05,$-0.22,0.0
2021-12-31,15.62,$-0.06,0.0
2023-03-31,13.68,$0.23,59.48
2021-09-30,16.39,$0.01,1639.0
2021-06-30,17.55,$0.34,51.62
2021-03-31,15.0,$0.02,750.0
2020-12-31,18.61,$-0.21,0.0
2020-09-30,14.4,$0.15,96.0
2020-06-30,13.76,$0.19,72.42
2020-03-31,12.0,$0.85,14.12
2019-12-31,21.47,$1.41,15.23
2019-09-30,23.98,$1.76,13.62
2019-06-30,24.24,$2.06,11.77
2019-03-31,49.44,$2.34,21.13
2018-12-31,45.66,$2.42,18.87
2018-09-30,56.7,$3.19,17.77
2018-06-30,51.76,$3.08,16.8
2018-03-31,50.87,$2.80,18.17
2017-12-31,47.11,$2.64,17.85
2017-09-30,44.22,$1.70,26.01
2017-06-30,38.6,$1.63,23.68
2017-03-31,39.87,$1.66,24.02
2016-12-31,38.64,$1.60,24.15
2016-09-30,38.84,$1.62,23.97
2016-06-30,37.3,$1.60,23.31
2016-03-31,33.84,$1.57,21.55
2015-12-31,32.6,$1.51,21.59
2015-09-30,31.02,$1.51,20.54
2015-06-30,32.44,$1.47,22.07
2015-03-31,32.67,$1.42,23.01
2014-12-31,29.63,$1.19,24.9
2014-09-30,24.3,$0.71,34.22
2014-06-30,26.82,$0.54,49.66
2014-03-31,25.34,$0.42,60.33
2013-12-31,24.47,$0.48,50.98
2013-09-30,23.15,$0.77,30.07
2013-06-30,18.65,$0.75,24.86
2013-03-31,16.19,$0.68,23.81
2012-12-31,16.21,$0.66,24.56
2012-09-30,15.65,$0.61,25.65
2012-06-30,13.63,$0.70,19.47
2012-03-31,12.85,$0.42,30.6
2011-12-31,10.7,$0.52,20.58
2011-09-30,9.6,$0.46,20.87
2011-06-30,14.99,$0.42,35.69
2011-03-31,12.16,$0.74,16.43
2010-12-31,10.94,$0.51,21.45
2010-09-30,10.0,$0.51,19.6
