Soleno Therapeutics PE Ratio Historical Data,Soleno Therapeutics PE Ratio Historical Data,Soleno Therapeutics PE Ratio Historical Data,Soleno Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,53.5,,0.0
2024-06-30,40.8,$-2.44,0.0
2024-03-31,42.8,$-2.68,0.0
2023-12-31,40.25,$-2.97,0.0
2023-09-30,29.51,$-3.22,0.0
2023-06-30,4.29,$-3.03,0.0
2023-03-31,2.14,$-3.12,0.0
2022-12-31,1.98,$-3.29,0.0
2022-09-30,1.67,$-3.31,0.0
2022-06-30,2.77,$-4.05,0.0
2022-03-31,3.35,$-5.25,0.0
2021-12-31,6.15,$-5.85,0.0
2021-09-30,13.87,$-5.85,0.0
2021-06-30,17.1,$-6.00,0.0
2021-03-31,18.9,$-6.30,0.0
2020-12-31,28.95,$-6.60,0.0
2020-09-30,37.65,$-11.39,0.0
2020-06-30,33.3,$-9.30,0.0
2020-03-31,35.7,$-11.54,0.0
2019-12-31,44.1,$-12.89,0.0
2019-09-30,22.5,$-7.35,0.0
2019-06-30,42.0,$-9.75,0.0
2019-03-31,30.9,$-10.79,0.0
2018-12-31,25.65,$-10.34,0.0
2018-09-30,32.4,$-16.94,0.0
2018-06-30,35.1,$-20.24,0.0
2018-03-31,27.2,$-19.79,0.0
