Addus HomeCare PE Ratio Historical Data,Addus HomeCare PE Ratio Historical Data,Addus HomeCare PE Ratio Historical Data,Addus HomeCare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,133.01,,31.52
2024-06-30,116.11,$4.22,27.51
2024-03-31,103.34,$4.03,25.64
2023-12-31,92.85,$3.84,24.18
2023-09-30,85.19,$3.55,24.0
2023-06-30,92.7,$3.31,28.01
2023-03-31,106.76,$3.10,34.44
2022-12-31,99.49,$2.85,34.91
2022-09-30,95.24,$2.75,34.63
2022-06-30,83.28,$2.76,30.17
2022-03-31,93.29,$2.78,33.56
2021-12-31,93.51,$2.80,33.4
2021-09-30,79.75,$2.52,31.65
2021-06-30,87.24,$2.37,36.81
2021-03-31,104.59,$2.08,50.28
2020-12-31,117.09,$2.07,56.57
2020-09-30,94.51,$1.54,61.37
2020-06-30,92.56,$1.31,70.66
2020-03-31,67.6,$1.29,52.4
2019-12-31,97.22,$1.11,87.59
2019-09-30,79.28,$1.47,53.93
2019-06-30,74.95,$1.41,53.16
2019-03-31,63.59,$1.36,46.76
2018-12-31,67.88,$1.42,47.8
2018-09-30,70.15,$1.34,52.35
2018-06-30,57.25,$1.35,42.41
2018-03-31,48.65,$1.22,39.88
2017-12-31,34.8,$1.17,29.74
2017-09-30,35.3,$1.55,22.77
2017-06-30,37.2,$1.41,26.38
2017-03-31,32.0,$1.41,22.7
2016-12-31,35.05,$1.05,33.38
2016-09-30,26.16,$0.68,38.47
2016-06-30,17.43,$0.79,22.06
2016-03-31,17.19,$0.85,20.22
2015-12-31,23.28,$1.03,22.6
2015-09-30,31.15,$1.09,28.58
2015-06-30,27.86,$1.12,24.88
2015-03-31,23.02,$1.08,21.31
2014-12-31,24.27,$1.10,22.06
2014-09-30,19.6,$0.83,23.61
2014-06-30,22.48,$0.77,29.19
2014-03-31,23.05,$0.74,31.15
2013-12-31,22.45,$1.76,12.76
2013-09-30,28.97,$2.03,14.27
2013-06-30,19.74,$1.97,10.02
2013-03-31,13.19,$1.89,6.98
2012-12-31,7.15,$0.72,9.93
2012-09-30,5.35,$0.60,8.92
2012-06-30,4.91,$-0.41,0.0
2012-03-31,4.95,$-0.43,0.0
2011-12-31,3.57,$-0.41,0.0
2011-09-30,4.05,$-0.50,0.0
2011-06-30,5.43,$0.48,11.31
2011-03-31,5.01,$0.52,9.63
2010-12-31,4.1,$0.57,7.19
2010-09-30,3.97,$-0.05,0.0
